article,time_period,uncertainty_matches,uncertainty_label,economic_matches,economic_label,policy_matches,policy_label,epu_label
39,historical,['uncertain'],1,[],0,[],0,0
40,historical,['uncertain'],1,[],0,[],0,0
41,historical,['uncertainty'],1,[],0,"['congress', 'legislation', 'white house']",1,0
42,historical,['uncertain'],1,['economic'],1,[],0,0
43,historical,['uncertain'],1,[],0,[],0,0
44,historical,['uncertain'],1,[],0,[],0,0
45,historical,['uncertainty'],1,[],0,[],0,0
46,historical,[],0,[],0,[],0,0
47,historical,['uncertainty'],1,[],0,[],0,0
48,historical,['uncertainty'],1,"['economic', 'economy']",1,['federal reserve'],1,1
49,historical,['uncertain'],1,[],0,[],0,0
50,historical,['uncertainty'],1,[],0,[],0,0
51,historical,['uncertain'],1,[],0,[],0,0
52,historical,['uncertainty'],1,[],0,[],0,0
53,historical,['uncertain'],1,[],0,[],0,0
54,historical,['uncertain'],1,[],0,[],0,0
55,historical,['uncertain'],1,[],0,[],0,0
56,historical,['uncertainty'],1,[],0,"['federal reserve', 'deficit']",1,0
57,historical,['uncertain'],1,[],0,[],0,0
58,historical,['uncertain'],1,[],0,[],0,0
59,historical,['uncertain'],1,"['economic', 'economy']",1,[],0,0
60,historical,['uncertainty'],1,[],0,['deficit'],1,0
61,historical,['uncertain'],1,[],0,[],0,0
62,historical,['uncertainty'],1,[],0,[],0,0
63,historical,[],0,['economy'],1,[],0,0
64,historical,['uncertainty'],1,[],0,['congress'],1,0
65,historical,[],0,[],0,[],0,0
66,historical,['uncertainty'],1,[],0,[],0,0
67,historical,['uncertain'],1,[],0,[],0,0
68,historical,[],0,[],0,[],0,0
69,historical,['uncertain'],1,[],0,[],0,0
70,historical,['uncertainty'],1,[],0,['federal reserve'],1,0
71,historical,['uncertain'],1,[],0,['legislation'],1,0
72,historical,['uncertain'],1,[],0,"['congress', 'legislation']",1,0
73,historical,['uncertainty'],1,['economy'],1,[],0,0
74,historical,['uncertainty'],1,['economic'],1,"['deficit', 'congress']",1,1
75,historical,['uncertainty'],1,[],0,[],0,0
76,historical,['uncertainty'],1,[],0,['congress'],1,0
77,historical,['uncertainty'],1,[],0,['congress'],1,0
78,historical,['uncertainty'],1,[],0,[],0,0
79,historical,['uncertain'],1,[],0,[],0,0
80,historical,['uncertainty'],1,[],0,[],0,0
81,historical,['uncertain'],1,[],0,[],0,0
82,historical,[],0,[],0,[],0,0
83,historical,['uncertain'],1,[],0,"['regulation', 'legislation']",1,0
84,historical,['uncertainty'],1,[],0,"['congress', 'legislation']",1,0
85,historical,['uncertain'],1,[],0,[],0,0
86,historical,[],0,[],0,[],0,0
87,historical,['uncertain'],1,[],0,[],0,0
88,historical,['uncertain'],1,[],0,[],0,0
89,historical,['uncertain'],1,[],0,[],0,0
90,historical,['uncertainty'],1,[],0,[],0,0
91,historical,['uncertainty'],1,[],0,[],0,0
92,historical,['uncertain'],1,[],0,[],0,0
93,historical,['uncertain'],1,[],0,[],0,0
94,historical,[],0,[],0,[],0,0
95,historical,['uncertainty'],1,[],0,['congress'],1,0
96,historical,['uncertainty'],1,[],0,[],0,0
97,historical,[],0,[],0,[],0,0
98,historical,['uncertainty'],1,[],0,['legislation'],1,0
99,historical,['uncertainty'],1,['economic'],1,"['congress', 'legislation']",1,1
100,historical,['uncertainty'],1,[],0,"['congress', 'legislation']",1,0
101,historical,['uncertain'],1,[],0,[],0,0
102,historical,['uncertainty'],1,['economic'],1,[],0,0
103,historical,['uncertain'],1,[],0,[],0,0
104,historical,['uncertainty'],1,[],0,[],0,0
105,historical,['uncertain'],1,[],0,[],0,0
106,historical,['uncertain'],1,[],0,[],0,0
107,historical,['uncertain'],1,['economy'],1,['congress'],1,1
108,historical,['uncertainty'],1,[],0,[],0,0
109,historical,['uncertain'],1,['economic'],1,[],0,0
110,historical,['uncertain'],1,[],0,[],0,0
111,historical,['uncertainty'],1,[],0,[],0,0
112,historical,[],0,[],0,['congress'],1,0
113,historical,['uncertainty'],1,[],0,[],0,0
114,historical,[],0,[],0,[],0,0
115,historical,['uncertainty'],1,['economic'],1,[],0,0
116,historical,[],0,['economic'],1,['federal reserve'],1,0
117,historical,['uncertainty'],1,[],0,[],0,0
118,historical,['uncertain'],1,[],0,[],0,0
119,historical,['uncertain'],1,[],0,[],0,0
120,historical,"['uncertain', 'uncertainty']",1,[],0,[],0,0
121,historical,['uncertainty'],1,[],0,[],0,0
122,historical,['uncertain'],1,[],0,[],0,0
123,historical,['uncertain'],1,[],0,"['congress', 'legislation']",1,0
124,historical,[],0,[],0,[],0,0
125,historical,['uncertainty'],1,[],0,[],0,0
126,historical,['uncertainty'],1,[],0,[],0,0
127,historical,['uncertain'],1,[],0,[],0,0
128,historical,['uncertain'],1,[],0,[],0,0
129,historical,[],0,[],0,['congress'],1,0
130,historical,['uncertain'],1,[],0,['congress'],1,0
131,historical,['uncertainty'],1,[],0,['congress'],1,0
132,historical,[],0,[],0,[],0,0
133,historical,['uncertain'],1,[],0,[],0,0
134,historical,['uncertainty'],1,[],0,[],0,0
135,historical,[],0,[],0,[],0,0
136,historical,['uncertain'],1,[],0,[],0,0
137,historical,['uncertain'],1,[],0,['congress'],1,0
138,historical,['uncertain'],1,[],0,[],0,0
139,historical,['uncertain'],1,[],0,[],0,0
140,historical,[],0,[],0,['congress'],1,0
141,historical,['uncertain'],1,[],0,[],0,0
142,historical,['uncertain'],1,['economic'],1,[],0,0
143,historical,['uncertainty'],1,[],0,[],0,0
144,historical,[],0,[],0,[],0,0
145,historical,['uncertain'],1,[],0,[],0,0
146,historical,['uncertain'],1,[],0,[],0,0
147,historical,['uncertain'],1,[],0,[],0,0
148,historical,['uncertain'],1,[],0,[],0,0
149,historical,['uncertain'],1,[],0,"['congress', 'white house']",1,0
150,historical,['uncertain'],1,['economic'],1,[],0,0
151,historical,['uncertainty'],1,[],0,[],0,0
152,historical,"['uncertain', 'uncertainty']",1,[],0,[],0,0
153,historical,['uncertain'],1,[],0,[],0,0
154,historical,['uncertain'],1,[],0,[],0,0
155,historical,[],0,[],0,[],0,0
156,historical,['uncertainty'],1,[],0,[],0,0
157,historical,[],0,[],0,[],0,0
158,historical,['uncertainty'],1,[],0,[],0,0
159,historical,[],0,[],0,[],0,0
160,historical,['uncertainty'],1,[],0,[],0,0
161,historical,['uncertainty'],1,[],0,[],0,0
162,historical,['uncertain'],1,[],0,[],0,0
163,historical,['uncertainty'],1,[],0,[],0,0
164,historical,[],0,[],0,['congress'],1,0
165,historical,[],0,[],0,[],0,0
166,historical,['uncertain'],1,[],0,"['regulation', 'congress', 'legislation']",1,0
167,historical,['uncertain'],1,['economic'],1,[],0,0
168,historical,['uncertain'],1,[],0,[],0,0
169,historical,[],0,[],0,['federal reserve'],1,0
170,historical,['uncertainty'],1,[],0,[],0,0
171,historical,['uncertainty'],1,[],0,[],0,0
172,historical,['uncertain'],1,[],0,[],0,0
173,historical,['uncertainty'],1,[],0,[],0,0
174,historical,[],0,[],0,[],0,0
175,historical,['uncertain'],1,[],0,[],0,0
176,historical,['uncertainty'],1,['economy'],1,"['congress', 'legislation']",1,1
177,historical,[],0,[],0,['legislation'],1,0
178,historical,[],0,['economic'],1,['regulation'],1,0
179,historical,[],0,[],0,[],0,0
180,historical,['uncertain'],1,[],0,[],0,0
181,historical,['uncertainty'],1,[],0,['federal reserve'],1,0
182,historical,['uncertainty'],1,[],0,[],0,0
183,historical,['uncertain'],1,[],0,[],0,0
184,historical,['uncertainty'],1,[],0,[],0,0
185,historical,['uncertain'],1,['economic'],1,[],0,0
186,historical,['uncertain'],1,[],0,[],0,0
187,historical,['uncertainty'],1,[],0,[],0,0
188,historical,['uncertain'],1,['economy'],1,[],0,0
189,historical,['uncertain'],1,[],0,['congress'],1,0
190,historical,"['uncertain', 'uncertainty']",1,[],0,[],0,0
191,historical,['uncertain'],1,[],0,['deficit'],1,0
192,historical,['uncertain'],1,['economic'],1,['federal reserve'],1,1
193,historical,['uncertainty'],1,['economic'],1,['congress'],1,1
194,historical,['uncertain'],1,[],0,[],0,0
195,historical,['uncertainty'],1,['economic'],1,['congress'],1,1
196,historical,['uncertainty'],1,[],0,[],0,0
197,historical,['uncertainty'],1,['economic'],1,[],0,0
198,historical,['uncertain'],1,['economic'],1,['deficit'],1,1
199,historical,['uncertain'],1,[],0,[],0,0
200,historical,['uncertain'],1,[],0,[],0,0
201,historical,['uncertain'],1,['economic'],1,[],0,0
202,historical,['uncertainty'],1,[],0,[],0,0
203,historical,['uncertain'],1,[],0,[],0,0
204,historical,['uncertain'],1,[],0,[],0,0
205,historical,['uncertainty'],1,['economic'],1,[],0,0
206,historical,['uncertainty'],1,[],0,[],0,0
207,historical,['uncertain'],1,[],0,[],0,0
208,historical,['uncertainty'],1,[],0,[],0,0
209,historical,['uncertainty'],1,[],0,[],0,0
210,historical,['uncertainty'],1,[],0,[],0,0
211,historical,['uncertainty'],1,[],0,[],0,0
212,historical,['uncertain'],1,[],0,[],0,0
213,historical,['uncertain'],1,[],0,[],0,0
214,historical,[],0,[],0,[],0,0
215,historical,['uncertainty'],1,[],0,['legislation'],1,0
216,historical,['uncertainty'],1,['economic'],1,[],0,0
217,historical,['uncertain'],1,[],0,[],0,0
218,historical,['uncertain'],1,[],0,[],0,0
219,historical,['uncertain'],1,[],0,[],0,0
220,historical,[],0,[],0,[],0,0
221,historical,['uncertain'],1,[],0,[],0,0
222,historical,['uncertain'],1,[],0,['congress'],1,0
223,historical,['uncertainty'],1,[],0,[],0,0
224,historical,[],0,[],0,['congress'],1,0
225,historical,['uncertain'],1,[],0,[],0,0
226,historical,['uncertainty'],1,[],0,[],0,0
227,historical,['uncertainty'],1,[],0,[],0,0
228,historical,['uncertain'],1,[],0,[],0,0
229,historical,['uncertainty'],1,[],0,[],0,0
230,historical,['uncertain'],1,[],0,[],0,0
231,historical,['uncertain'],1,[],0,"['legislation', 'white house']",1,0
232,historical,[],0,[],0,"['congress', 'white house']",1,0
233,historical,['uncertain'],1,[],0,[],0,0
234,historical,['uncertainty'],1,[],0,['congress'],1,0
235,historical,['uncertainty'],1,[],0,[],0,0
236,historical,['uncertainty'],1,['economic'],1,[],0,0
237,historical,[],0,[],0,"['congress', 'legislation']",1,0
238,historical,['uncertain'],1,[],0,[],0,0
239,historical,['uncertain'],1,[],0,[],0,0
240,historical,['uncertain'],1,[],0,[],0,0
241,historical,[],0,[],0,[],0,0
242,historical,['uncertain'],1,[],0,[],0,0
243,historical,['uncertain'],1,[],0,[],0,0
244,historical,['uncertainty'],1,[],0,[],0,0
245,historical,['uncertainty'],1,[],0,[],0,0
246,historical,['uncertain'],1,[],0,[],0,0
247,historical,[],0,[],0,[],0,0
248,historical,[],0,[],0,[],0,0
249,historical,['uncertainty'],1,[],0,['legislation'],1,0
250,historical,['uncertainty'],1,[],0,[],0,0
251,historical,['uncertainty'],1,['economy'],1,[],0,0
252,historical,['uncertainty'],1,[],0,[],0,0
253,historical,['uncertainty'],1,[],0,[],0,0
254,historical,['uncertainty'],1,[],0,[],0,0
255,historical,['uncertain'],1,[],0,[],0,0
256,historical,[],0,['economic'],1,[],0,0
257,historical,['uncertain'],1,[],0,[],0,0
258,historical,[],0,[],0,[],0,0
259,historical,['uncertainty'],1,[],0,['congress'],1,0
260,historical,['uncertain'],1,[],0,[],0,0
261,historical,['uncertainty'],1,[],0,[],0,0
262,historical,['uncertain'],1,['economy'],1,['congress'],1,1
263,historical,['uncertain'],1,[],0,[],0,0
264,historical,['uncertain'],1,[],0,[],0,0
265,historical,"['uncertain', 'uncertainty']",1,[],0,['legislation'],1,0
266,historical,['uncertain'],1,['economy'],1,[],0,0
267,historical,['uncertainty'],1,['economy'],1,[],0,0
268,historical,[],0,[],0,[],0,0
269,historical,['uncertain'],1,[],0,[],0,0
270,historical,['uncertainty'],1,[],0,[],0,0
271,historical,[],0,[],0,[],0,0
272,historical,['uncertainty'],1,[],0,[],0,0
273,historical,[],0,[],0,[],0,0
274,historical,['uncertainty'],1,['economy'],1,['legislation'],1,1
275,historical,['uncertain'],1,[],0,[],0,0
276,historical,['uncertain'],1,['economy'],1,[],0,0
277,historical,['uncertain'],1,[],0,['congress'],1,0
278,historical,['uncertainty'],1,[],0,['legislation'],1,0
279,historical,[],0,[],0,['legislation'],1,0
280,historical,['uncertain'],1,[],0,[],0,0
281,historical,['uncertainty'],1,[],0,[],0,0
282,historical,[],0,[],0,[],0,0
283,historical,['uncertainty'],1,[],0,[],0,0
284,historical,['uncertainty'],1,[],0,['congress'],1,0
285,historical,['uncertain'],1,[],0,[],0,0
286,historical,['uncertainty'],1,[],0,[],0,0
287,historical,['uncertain'],1,[],0,['white house'],1,0
288,historical,['uncertain'],1,[],0,[],0,0
289,historical,['uncertainty'],1,[],0,['legislation'],1,0
290,historical,['uncertain'],1,[],0,[],0,0
291,historical,['uncertain'],1,[],0,[],0,0
292,historical,['uncertain'],1,[],0,[],0,0
293,historical,['uncertain'],1,[],0,[],0,0
294,historical,['uncertain'],1,[],0,[],0,0
295,historical,['uncertainty'],1,[],0,"['federal reserve', 'congress', 'legislation']",1,0
296,historical,['uncertain'],1,[],0,[],0,0
297,historical,['uncertainty'],1,[],0,[],0,0
298,historical,['uncertainty'],1,[],0,[],0,0
299,historical,['uncertainty'],1,[],0,[],0,0
300,historical,['uncertainty'],1,[],0,[],0,0
301,historical,['uncertain'],1,[],0,[],0,0
302,historical,['uncertain'],1,['economy'],1,[],0,0
303,historical,[],0,[],0,[],0,0
304,historical,['uncertain'],1,[],0,[],0,0
305,historical,['uncertain'],1,[],0,[],0,0
306,historical,['uncertain'],1,[],0,[],0,0
307,historical,['uncertainty'],1,[],0,['legislation'],1,0
308,historical,['uncertainty'],1,[],0,['congress'],1,0
309,historical,['uncertainty'],1,[],0,[],0,0
310,historical,[],0,[],0,[],0,0
311,historical,['uncertain'],1,[],0,[],0,0
312,historical,"['uncertain', 'uncertainty']",1,[],0,['congress'],1,0
313,historical,[],0,[],0,[],0,0
314,historical,['uncertainty'],1,['economic'],1,"['congress', 'legislation', 'white house']",1,1
315,historical,[],0,[],0,[],0,0
316,historical,['uncertainty'],1,[],0,[],0,0
317,historical,['uncertainty'],1,[],0,['legislation'],1,0
318,historical,['uncertain'],1,[],0,"['congress', 'legislation']",1,0
319,historical,['uncertainty'],1,[],0,[],0,0
320,historical,['uncertainty'],1,[],0,['legislation'],1,0
321,historical,['uncertainty'],1,[],0,[],0,0
322,historical,[],0,[],0,['legislation'],1,0
323,historical,['uncertain'],1,['economic'],1,[],0,0
324,historical,['uncertainty'],1,[],0,['congress'],1,0
325,historical,[],0,[],0,['legislation'],1,0
326,historical,['uncertainty'],1,[],0,[],0,0
327,historical,['uncertainty'],1,[],0,[],0,0
328,historical,['uncertainty'],1,[],0,[],0,0
329,historical,['uncertain'],1,['economic'],1,"['congress', 'legislation']",1,1
330,historical,['uncertain'],1,[],0,[],0,0
331,historical,['uncertainty'],1,[],0,[],0,0
332,historical,['uncertainty'],1,[],0,['congress'],1,0
333,historical,['uncertain'],1,[],0,"['congress', 'white house']",1,0
334,historical,['uncertain'],1,['economic'],1,[],0,0
335,historical,['uncertainty'],1,"['economic', 'economy']",1,"['congress', 'legislation']",1,1
336,historical,['uncertain'],1,[],0,[],0,0
337,historical,['uncertainty'],1,[],0,[],0,0
338,historical,['uncertainty'],1,['economy'],1,[],0,0
339,historical,['uncertain'],1,[],0,[],0,0
340,historical,['uncertainty'],1,[],0,['congress'],1,0
341,historical,['uncertain'],1,[],0,[],0,0
342,historical,['uncertain'],1,[],0,[],0,0
343,historical,[],0,[],0,[],0,0
344,historical,['uncertainty'],1,[],0,[],0,0
345,historical,['uncertainty'],1,[],0,[],0,0
346,historical,['uncertainty'],1,[],0,[],0,0
347,historical,['uncertain'],1,[],0,['white house'],1,0
348,historical,['uncertain'],1,[],0,[],0,0
349,historical,['uncertain'],1,[],0,"['congress', 'white house']",1,0
350,historical,['uncertain'],1,[],0,[],0,0
351,historical,['uncertain'],1,[],0,[],0,0
352,historical,[],0,[],0,[],0,0
353,historical,[],0,['economic'],1,[],0,0
354,historical,['uncertain'],1,['economic'],1,[],0,0
355,historical,['uncertain'],1,[],0,[],0,0
356,historical,['uncertainty'],1,[],0,[],0,0
357,historical,['uncertain'],1,['economy'],1,[],0,0
358,historical,['uncertainty'],1,[],0,[],0,0
359,historical,['uncertain'],1,[],0,[],0,0
360,historical,[],0,[],0,['deficit'],1,0
361,historical,['uncertainty'],1,[],0,"['regulation', 'congress', 'legislation']",1,0
362,historical,['uncertainty'],1,[],0,[],0,0
363,historical,['uncertainty'],1,[],0,"['congress', 'legislation']",1,0
364,historical,['uncertainty'],1,[],0,[],0,0
365,historical,['uncertain'],1,[],0,['congress'],1,0
366,historical,['uncertainty'],1,[],0,[],0,0
367,historical,['uncertainty'],1,[],0,[],0,0
368,historical,['uncertain'],1,['economic'],1,['white house'],1,1
369,historical,['uncertain'],1,[],0,[],0,0
370,historical,['uncertainty'],1,[],0,[],0,0
371,historical,['uncertainty'],1,[],0,[],0,0
372,historical,['uncertainty'],1,[],0,[],0,0
373,historical,['uncertain'],1,[],0,[],0,0
374,historical,['uncertain'],1,[],0,['white house'],1,0
375,historical,['uncertain'],1,[],0,[],0,0
376,historical,[],0,[],0,[],0,0
377,historical,['uncertainty'],1,[],0,[],0,0
378,historical,['uncertain'],1,[],0,['legislation'],1,0
379,historical,['uncertain'],1,[],0,[],0,0
380,historical,['uncertainty'],1,[],0,[],0,0
381,historical,[],0,['economic'],1,[],0,0
382,historical,['uncertain'],1,[],0,[],0,0
383,historical,['uncertain'],1,[],0,[],0,0
384,historical,['uncertain'],1,['economic'],1,"['regulation', 'legislation']",1,1
385,historical,['uncertain'],1,[],0,['congress'],1,0
386,historical,['uncertainty'],1,[],0,[],0,0
387,historical,['uncertainty'],1,[],0,[],0,0
388,historical,['uncertainty'],1,[],0,[],0,0
389,historical,['uncertain'],1,[],0,[],0,0
390,historical,['uncertain'],1,[],0,[],0,0
391,historical,['uncertain'],1,[],0,[],0,0
392,historical,['uncertain'],1,[],0,[],0,0
393,historical,['uncertainty'],1,[],0,[],0,0
394,historical,['uncertain'],1,[],0,[],0,0
395,historical,['uncertainty'],1,[],0,[],0,0
396,historical,['uncertainty'],1,[],0,[],0,0
397,historical,['uncertainty'],1,[],0,[],0,0
398,historical,['uncertainty'],1,[],0,"['regulation', 'congress', 'legislation']",1,0
399,historical,['uncertain'],1,[],0,[],0,0
400,historical,[],0,[],0,[],0,0
401,historical,"['uncertain', 'uncertainty']",1,['economy'],1,"['deficit', 'congress', 'legislation', 'white house']",1,1
402,historical,['uncertainty'],1,[],0,[],0,0
403,historical,['uncertain'],1,[],0,['congress'],1,0
404,historical,['uncertainty'],1,[],0,[],0,0
405,historical,['uncertain'],1,[],0,[],0,0
406,historical,['uncertainty'],1,['economic'],1,[],0,0
407,historical,['uncertainty'],1,[],0,[],0,0
408,historical,['uncertain'],1,[],0,[],0,0
409,historical,['uncertain'],1,[],0,[],0,0
410,historical,['uncertain'],1,[],0,[],0,0
411,historical,['uncertainty'],1,[],0,"['congress', 'legislation']",1,0
412,historical,[],0,[],0,[],0,0
413,historical,['uncertainty'],1,[],0,[],0,0
414,historical,['uncertainty'],1,[],0,[],0,0
415,historical,"['uncertain', 'uncertainty']",1,[],0,[],0,0
416,historical,['uncertain'],1,[],0,[],0,0
417,historical,[],0,[],0,['congress'],1,0
418,historical,['uncertainty'],1,[],0,[],0,0
419,historical,['uncertain'],1,"['economic', 'economy']",1,[],0,0
420,historical,['uncertain'],1,[],0,[],0,0
421,historical,['uncertainty'],1,[],0,[],0,0
422,historical,['uncertain'],1,[],0,[],0,0
423,historical,['uncertainty'],1,[],0,[],0,0
424,historical,[],0,[],0,[],0,0
425,historical,['uncertain'],1,[],0,[],0,0
426,historical,['uncertain'],1,[],0,[],0,0
427,historical,['uncertainty'],1,[],0,[],0,0
428,historical,['uncertainty'],1,[],0,[],0,0
429,historical,[],0,[],0,[],0,0
430,historical,['uncertain'],1,[],0,[],0,0
431,historical,['uncertain'],1,[],0,[],0,0
432,historical,['uncertain'],1,[],0,[],0,0
433,historical,['uncertainty'],1,['economy'],1,[],0,0
434,historical,['uncertain'],1,[],0,[],0,0
435,historical,['uncertain'],1,[],0,"['congress', 'legislation']",1,0
436,historical,['uncertain'],1,[],0,[],0,0
437,historical,[],0,[],0,[],0,0
438,historical,['uncertainty'],1,[],0,"['congress', 'legislation']",1,0
439,historical,['uncertainty'],1,[],0,[],0,0
440,historical,['uncertain'],1,[],0,[],0,0
441,historical,['uncertainty'],1,[],0,[],0,0
442,historical,['uncertainty'],1,[],0,['congress'],1,0
443,historical,['uncertain'],1,[],0,"['congress', 'legislation']",1,0
444,historical,['uncertain'],1,[],0,[],0,0
445,historical,['uncertainty'],1,[],0,[],0,0
446,historical,[],0,[],0,[],0,0
447,historical,['uncertain'],1,[],0,[],0,0
448,historical,['uncertainty'],1,[],0,[],0,0
449,historical,['uncertain'],1,[],0,[],0,0
450,historical,['uncertain'],1,[],0,"['congress', 'legislation']",1,0
451,historical,['uncertain'],1,[],0,[],0,0
452,historical,['uncertain'],1,[],0,[],0,0
453,historical,['uncertainty'],1,[],0,[],0,0
454,historical,['uncertain'],1,['economy'],1,"['regulation', 'congress']",1,1
455,historical,['uncertainty'],1,[],0,[],0,0
456,historical,['uncertainty'],1,[],0,"['congress', 'legislation']",1,0
457,historical,[],0,[],0,[],0,0
458,historical,['uncertain'],1,[],0,[],0,0
459,historical,[],0,['economic'],1,['regulation'],1,0
460,historical,['uncertain'],1,[],0,"['congress', 'legislation', 'white house']",1,0
461,historical,[],0,[],0,['legislation'],1,0
462,historical,['uncertainty'],1,['economic'],1,[],0,0
463,historical,['uncertainty'],1,[],0,[],0,0
464,historical,['uncertainty'],1,['economy'],1,['legislation'],1,1
465,historical,['uncertain'],1,[],0,[],0,0
466,historical,['uncertainty'],1,[],0,[],0,0
467,historical,['uncertainty'],1,['economic'],1,[],0,0
468,historical,['uncertainty'],1,[],0,['congress'],1,0
469,historical,['uncertainty'],1,['economic'],1,['congress'],1,1
470,historical,['uncertain'],1,['economic'],1,[],0,0
471,historical,['uncertain'],1,[],0,[],0,0
472,historical,['uncertain'],1,[],0,"['congress', 'legislation', 'white house']",1,0
473,historical,[],0,[],0,[],0,0
474,historical,['uncertainty'],1,[],0,[],0,0
475,historical,['uncertainty'],1,[],0,[],0,0
476,historical,['uncertainty'],1,['economy'],1,"['congress', 'legislation']",1,1
477,historical,['uncertain'],1,[],0,['legislation'],1,0
478,historical,['uncertain'],1,[],0,[],0,0
479,historical,['uncertain'],1,[],0,[],0,0
480,historical,['uncertainty'],1,[],0,"['congress', 'legislation']",1,0
481,historical,['uncertainty'],1,[],0,[],0,0
482,historical,['uncertain'],1,[],0,[],0,0
483,historical,['uncertain'],1,[],0,[],0,0
484,historical,['uncertainty'],1,[],0,[],0,0
485,historical,['uncertain'],1,[],0,[],0,0
486,historical,['uncertain'],1,['economic'],1,[],0,0
487,historical,['uncertain'],1,[],0,[],0,0
488,historical,['uncertainty'],1,[],0,[],0,0
489,historical,['uncertain'],1,[],0,[],0,0
490,historical,['uncertainty'],1,[],0,[],0,0
491,historical,[],0,"['economic', 'economy']",1,"['regulation', 'legislation']",1,0
492,historical,['uncertain'],1,['economic'],1,[],0,0
493,historical,['uncertainty'],1,[],0,[],0,0
494,historical,['uncertainty'],1,[],0,"['congress', 'legislation']",1,0
495,historical,['uncertain'],1,[],0,"['congress', 'white house']",1,0
496,historical,['uncertain'],1,[],0,[],0,0
497,historical,['uncertain'],1,[],0,[],0,0
498,historical,['uncertainty'],1,[],0,[],0,0
499,historical,['uncertain'],1,[],0,[],0,0
500,historical,['uncertainty'],1,[],0,[],0,0
501,historical,['uncertain'],1,[],0,[],0,0
502,historical,['uncertain'],1,['economic'],1,[],0,0
503,historical,['uncertain'],1,[],0,[],0,0
504,historical,['uncertainty'],1,[],0,[],0,0
505,historical,['uncertainty'],1,[],0,[],0,0
506,historical,['uncertain'],1,[],0,['legislation'],1,0
507,historical,['uncertain'],1,['economic'],1,[],0,0
508,historical,['uncertain'],1,[],0,[],0,0
509,historical,"['uncertain', 'uncertainty']",1,[],0,[],0,0
510,historical,['uncertainty'],1,[],0,[],0,0
511,historical,['uncertain'],1,[],0,[],0,0
512,historical,['uncertainty'],1,['economy'],1,['congress'],1,1
513,historical,[],0,[],0,"['congress', 'legislation']",1,0
514,historical,['uncertainty'],1,[],0,[],0,0
515,historical,['uncertainty'],1,[],0,[],0,0
516,historical,[],0,[],0,[],0,0
517,historical,['uncertainty'],1,[],0,[],0,0
518,historical,"['uncertain', 'uncertainty']",1,[],0,[],0,0
519,historical,['uncertainty'],1,[],0,[],0,0
520,historical,['uncertainty'],1,[],0,[],0,0
521,historical,['uncertainty'],1,[],0,[],0,0
522,historical,['uncertain'],1,[],0,[],0,0
523,historical,['uncertainty'],1,[],0,[],0,0
524,historical,['uncertain'],1,[],0,['white house'],1,0
525,historical,['uncertain'],1,['economic'],1,[],0,0
526,historical,['uncertain'],1,[],0,[],0,0
527,historical,['uncertain'],1,[],0,[],0,0
528,historical,['uncertainty'],1,[],0,[],0,0
529,historical,['uncertain'],1,[],0,[],0,0
530,historical,['uncertain'],1,[],0,[],0,0
531,historical,['uncertain'],1,[],0,['regulation'],1,0
532,historical,['uncertainty'],1,[],0,['legislation'],1,0
533,historical,[],0,[],0,[],0,0
534,historical,['uncertain'],1,[],0,[],0,0
535,historical,[],0,[],0,[],0,0
536,historical,['uncertainty'],1,[],0,[],0,0
537,historical,['uncertain'],1,[],0,[],0,0
538,historical,['uncertainty'],1,[],0,[],0,0
539,historical,[],0,[],0,['regulation'],1,0
