article_number,year,month,EPU,label,unique_id_current,vintage
32,2003,6,0.0,0.0,DMNB_6_2003_7,Current
33,1991,3,1.0,1.0,LA_3_1991_44,Current
33,2010,10,1.0,1.0,SF_10_2010_11,Current
34,1995,7,1.0,1.0,MIHB_7_1995_9,Current
34,2003,3,0.0,0.0,SF_3_2003_17,Current
35,1989,1,0.0,0.0,NYT_1_1989_3,Current
35,1995,6,1.0,1.0,NYT_6_1995_1,Current
36,1999,1,0.0,0.0,SF_1_1999_4,Current
36,2001,10,0.0,0.0,SF_10_2001_39,Current
37,1987,7,1.0,1.0,NYT_7_1987_15,Current
37,1990,11,1.0,1.0,LA_11_1990_18,Current
38,1997,7,0.0,0.0,SF_7_1997_1,Current
38,2006,6,0.0,0.0,DMNB_6_2006_3,Current
39,1992,2,0.0,0.0,NYT_2_1992_18,Current
40,1991,12,0.0,0.0,MIHB_12_1991_26,Current
40,1998,10,0.0,0.0,LA_10_1998_50,Current
41,2006,2,0.0,0.0,SF_2_2006_2,Current
41,2009,12,0.0,0.0,MIHB_12_2009_7,Current
42,1991,5,0.0,0.0,LA_5_1991_25,Current
42,1997,11,0.0,0.0,NYT_11_1997_4,Current
43,1987,4,0.0,0.0,MIHB_4_1987_2,Current
43,2009,1,0.0,0.0,LA_1_2009_9,Current
44,2007,12,0.0,0.0,LA_12_2007_9,Current
44,2012,1,1.0,1.0,LA_1_2012_5,Current
45,2009,2,0.0,0.0,SF_2_2009_5,Current
45,2011,7,1.0,1.0,NYT_7_2011_22,Current
46,1987,2,0.0,0.0,NYT_2_1987_8,Current
46,1998,7,0.0,0.0,NYT_7_1998_4,Current
47,1988,11,0.0,0.0,LA_11_1988_2,Current
47,2012,2,1.0,1.0,SF_2_2012_12,Current
48,1997,2,0.0,0.0,NYT_2_1997_28,Current
48,1998,1,0.0,0.0,SF_1_1998_3,Current
49,1990,2,1.0,1.0,NYT_2_1990_48,Current
49,1997,3,1.0,1.0,SF_3_1997_4,Current
50,2003,12,0.0,0.0,NYT_12_2003_7,Current
50,2011,11,0.0,0.0,MIHB_11_2011_2,Current
51,2000,6,0.0,0.0,SF_6_2000_10,Current
51,2010,4,0.0,0.0,SF_4_2010_1,Current
52,1993,3,1.0,1.0,NYT_3_1993_8,Current
52,2011,11,0.0,0.0,SF_11_2011_7,Current
53,2005,7,0.0,0.0,NYT_7_2005_12,Current
53,2008,10,1.0,1.0,SF_10_2008_24,Current
54,1992,12,0.0,0.0,DMNB_12_1992_17,Current
54,1999,11,1.0,1.0,NYT_11_1999_4,Current
55,2002,9,0.0,0.0,SF_9_2002_12,Current
55,2009,6,0.0,0.0,DMNB_6_2009_9,Current
56,2000,6,1.0,1.0,DMNB_6_2000_9,Current
56,2001,4,0.0,0.0,SF_4_2001_12,Current
57,1999,6,1.0,1.0,LA_6_1999_10,Current
57,2011,1,0.0,0.0,NYT_1_2011_10,Current
58,2008,4,1.0,1.0,SF_4_2008_13,Current
58,2009,12,0.0,0.0,SF_12_2009_6,Current
59,1998,1,0.0,0.0,NYT_1_1998_2,Current
59,2008,12,0.0,0.0,SF_12_2008_35,Current
60,1985,9,1.0,1.0,LA_9_1985_5,Current
60,1990,4,0.0,0.0,LA_4_1990_27,Current
61,2002,11,0.0,0.0,LA_11_2002_30,Current
61,2010,5,1.0,1.0,SF_5_2010_18,Current
62,2003,5,0.0,0.0,LA_5_2003_31,Current
62,2012,2,0.0,0.0,NYT_2_2012_23,Current
63,2003,3,1.0,1.0,NYT_3_2003_29,Current
63,2010,8,0.0,0.0,NYT_8_2010_1,Current
64,2004,7,0.0,0.0,SF_7_2004_10,Current
64,2005,2,0.0,0.0,LA_2_2005_21,Current
65,1987,9,1.0,1.0,MIHB_9_1987_7,Current
65,2008,6,0.0,0.0,SF_6_2008_18,Current
66,2002,1,0.0,0.0,LA_1_2002_4,Current
66,2003,2,1.0,1.0,SF_2_2003_17,Current
67,1995,12,0.0,0.0,LA_12_1995_21,Current
67,1999,8,0.0,0.0,NYT_8_1999_13,Current
68,1998,11,0.0,0.0,SF_11_1998_3,Current
68,1999,2,0.0,0.0,SF_2_1999_5,Current
69,1995,8,0.0,0.0,SF_8_1995_1,Current
69,2010,6,1.0,1.0,NYT_6_2010_49,Current
70,1993,8,1.0,1.0,NYT_8_1993_9,Current
70,2005,12,1.0,1.0,LA_12_2005_16,Current
71,1995,11,0.0,0.0,MIHB_11_1995_5,Current
71,2007,8,0.0,0.0,SF_8_2007_2,Current
72,1985,12,0.0,0.0,LA_12_1985_13,Current
72,1998,3,0.0,0.0,SF_3_1998_4,Current
73,1992,1,1.0,1.0,LA_1_1992_34,Current
73,2012,2,1.0,1.0,DMNB_2_2012_6,Current
74,1998,5,0.0,0.0,SF_5_1998_3,Current
74,2002,8,0.0,0.0,SF_8_2002_6,Current
75,1988,4,1.0,1.0,NYT_4_1988_17,Current
75,1994,10,0.0,0.0,DMNB_10_1994_14,Current
76,1987,6,1.0,1.0,NYT_6_1987_26,Current
76,2005,7,0.0,0.0,SF_7_2005_3,Current
77,1998,9,0.0,0.0,SF_9_1998_6,Current
77,1999,5,1.0,1.0,SF_5_1999_3,Current
78,1986,5,0.0,0.0,MIHB_5_1986_9,Current
78,1997,7,1.0,1.0,NYT_7_1997_9,Current
79,1997,6,0.0,0.0,LA_6_1997_40,Current
79,2007,6,0.0,0.0,LA_6_2007_11,Current
80,1991,9,1.0,1.0,NYT_9_1991_8,Current
80,1995,2,0.0,0.0,SF_2_1995_3,Current
81,2001,6,0.0,0.0,SF_6_2001_10,Current
81,2003,5,0.0,0.0,NYT_5_2003_31,Current
82,1985,5,1.0,1.0,NYT_5_1985_4,Current
82,1989,6,1.0,1.0,MIHB_6_1989_7,Current
83,1993,9,1.0,1.0,NYT_9_1993_6,Current
83,2004,12,1.0,1.0,DMNB_12_2004_4,Current
84,2009,7,1.0,1.0,NYT_7_2009_43,Current
84,2009,8,0.0,0.0,LA_8_2009_10,Current
85,1986,12,1.0,1.0,NYT_12_1986_13,Current
85,2003,1,0.0,0.0,NYT_1_2003_20,Current
86,1991,3,0.0,0.0,MIHB_3_1991_7,Current
86,2011,11,0.0,0.0,LA_11_2011_23,Current
87,1993,5,1.0,1.0,NYT_5_1993_9,Current
87,2009,6,0.0,0.0,LA_6_2009_28,Current
88,1987,3,0.0,0.0,NYT_3_1987_26,Current
88,2008,2,1.0,1.0,DMNB_2_2008_5,Current
89,2002,4,0.0,0.0,SF_4_2002_4,Current
89,2007,2,0.0,0.0,LA_2_2007_7,Current
90,2005,1,0.0,0.0,LA_1_2005_21,Current
90,2008,9,0.0,0.0,SF_9_2008_5,Current
91,2011,5,0.0,0.0,LA_5_2011_6,Current
91,2011,7,0.0,0.0,NYT_7_2011_2,Current
92,1985,2,1.0,1.0,LA_2_1985_7,Current
92,1990,1,0.0,0.0,NYT_1_1990_5,Current
93,1995,4,0.0,0.0,NYT_4_1995_10,Current
93,2012,1,1.0,1.0,LA_1_2012_5,Current
94,1995,11,1.0,1.0,NYT_11_1995_11,Current
94,2003,4,1.0,1.0,DMNB_4_2003_21,Current
95,1988,2,1.0,1.0,NYT_2_1988_25,Current
95,2005,6,0.0,0.0,SF_6_2005_6,Current
96,1994,12,0.0,0.0,LA_12_1994_42,Current
96,2003,8,0.0,0.0,DMNB_8_2003_2,Current
97,1985,5,1.0,1.0,LA_5_1985_12,Current
97,2001,10,0.0,0.0,LA_10_2001_8,Current
98,2000,9,0.0,0.0,DMNB_9_2000_16,Current
98,2012,2,1.0,1.0,LA_2_2012_15,Current
99,2000,2,0.0,0.0,SF_2_2000_2,Current
99,2008,6,0.0,0.0,NYT_6_2008_6,Current
100,2000,8,0.0,0.0,LA_8_2000_14,Current
101,2009,7,0.0,0.0,SF_7_2009_11,Current
102,2000,1,0.0,0.0,NYT_1_2000_14,Current
102,2001,7,0.0,0.0,LA_7_2001_35,Current
103,1996,6,1.0,1.0,NYT_6_1996_11,Current
103,2006,6,1.0,1.0,SF_6_2006_4,Current
104,2000,5,0.0,0.0,SF_5_2000_3,Current
104,2007,2,0.0,0.0,MIHB_2_2007_4,Current
105,1986,8,1.0,1.0,LA_8_1986_36,Current
105,1992,9,0.0,0.0,NYT_9_1992_4,Current
106,1993,6,1.0,1.0,LA_6_1993_49,Current
106,2000,11,1.0,1.0,SF_11_2000_10,Current
107,1997,12,0.0,0.0,DMNB_12_1997_6,Current
107,2011,3,1.0,1.0,SF_3_2011_7,Current
108,2004,9,0.0,0.0,NYT_9_2004_1,Current
108,2006,7,0.0,0.0,NYT_7_2006_16,Current
109,1993,6,0.0,0.0,LA_6_1993_2,Current
109,1999,6,1.0,1.0,MIHB_6_1999_2,Current
110,2001,1,0.0,0.0,SF_1_2001_10,Current
110,2006,5,0.0,0.0,NYT_5_2006_19,Current
111,1998,9,1.0,1.0,DMNB_9_1998_25,Current
111,1999,9,0.0,0.0,SF_9_1999_13,Current
112,1991,4,1.0,1.0,LA_4_1991_39,Current
112,1995,8,1.0,1.0,NYT_8_1995_8,Current
113,2000,11,1.0,1.0,NYT_11_2000_22,Current
113,2005,11,0.0,0.0,NYT_11_2005_16,Current
114,1992,12,0.0,0.0,LA_12_1992_38,Current
115,1995,6,1.0,1.0,DMNB_6_1995_16,Current
115,2000,8,1.0,1.0,NYT_8_2000_2,Current
116,2003,10,0.0,0.0,NYT_10_2003_14,Current
117,2000,8,0.0,0.0,SF_8_2000_2,Current
117,2009,2,1.0,1.0,NYT_2_2009_8,Current
118,1996,1,1.0,1.0,SF_1_1996_2,Current
118,2001,5,1.0,1.0,LA_5_2001_37,Current
119,1995,5,1.0,1.0,LA_5_1995_37,Current
119,2002,5,0.0,0.0,DMNB_5_2002_2,Current
120,2000,1,0.0,0.0,SF_1_2000_7,Current
120,2004,10,0.0,0.0,LA_10_2004_1,Current
121,1992,7,0.0,0.0,LA_7_1992_25,Current
121,2004,7,1.0,1.0,NYT_7_2004_18,Current
122,1987,5,1.0,1.0,NYT_5_1987_2,Current
122,2006,11,1.0,1.0,SF_11_2006_8,Current
123,1987,3,1.0,1.0,MIHB_3_1987_5,Current
123,1996,12,1.0,1.0,SF_12_1996_3,Current
124,1995,11,0.0,0.0,SF_11_1995_5,Current
124,2004,11,0.0,0.0,DMNB_11_2004_8,Current
125,2001,10,1.0,1.0,NYT_10_2001_22,Current
125,2011,1,1.0,1.0,SF_1_2011_4,Current
126,2000,12,0.0,0.0,SF_12_2000_23,Current
126,2003,5,0.0,0.0,MIHB_5_2003_8,Current
127,1999,6,1.0,1.0,SF_6_1999_3,Current
127,2011,12,1.0,1.0,LA_12_2011_8,Current
128,2005,8,1.0,1.0,SF_8_2005_6,Current
128,2006,12,0.0,0.0,SF_12_2006_3,Current
129,1996,5,0.0,0.0,NYT_5_1996_6,Current
129,1997,2,1.0,1.0,LA_2_1997_28,Current
130,1992,11,1.0,1.0,NYT_11_1992_1,Current
130,1996,5,1.0,1.0,LA_5_1996_25,Current
131,2009,12,1.0,1.0,SF_12_2009_4,Current
131,2010,3,0.0,0.0,LA_3_2010_18,Current
132,2006,7,1.0,1.0,DMNB_7_2006_2,Current
132,2006,12,1.0,1.0,LA_12_2006_7,Current
133,1999,3,1.0,1.0,NYT_3_1999_5,Current
133,2003,4,1.0,1.0,LA_4_2003_25,Current
134,2009,4,1.0,1.0,NYT_4_2009_30,Current
134,2010,3,0.0,0.0,NYT_3_2010_29,Current
135,1990,11,1.0,1.0,NYT_11_1990_13,Current
135,2012,2,1.0,1.0,SF_2_2012_9,Current
136,2006,4,0.0,0.0,NYT_4_2006_19,Current
136,2007,10,1.0,1.0,NYT_10_2007_20,Current
137,2001,2,1.0,1.0,NYT_2_2001_9,Current
137,2004,3,1.0,1.0,NYT_3_2004_7,Current
138,2000,10,1.0,1.0,LA_10_2000_8,Current
138,2010,11,0.0,0.0,LA_11_2010_21,Current
139,1997,6,1.0,1.0,SF_6_1997_2,Current
139,2011,4,1.0,1.0,MIHB_4_2011_6,Current
140,2006,9,0.0,0.0,MIHB_9_2006_12,Current
140,2011,9,0.0,0.0,SF_9_2011_22,Current
141,1994,1,1.0,1.0,NYT_1_1994_11,Current
141,2008,10,0.0,0.0,LA_10_2008_1,Current
142,2002,1,0.0,0.0,SF_1_2002_20,Current
142,2009,7,0.0,0.0,LA_7_2009_22,Current
143,2006,11,1.0,1.0,LA_11_2006_12,Current
143,2011,2,0.0,0.0,SF_2_2011_8,Current
144,1987,7,0.0,0.0,LA_7_1987_5,Current
144,2005,11,0.0,0.0,SF_11_2005_6,Current
145,1988,10,1.0,1.0,LA_10_1988_18,Current
145,1994,3,0.0,0.0,NYT_3_1994_29,Current
146,1987,6,0.0,0.0,MIHB_6_1987_7,Current
146,1991,8,1.0,1.0,LA_8_1991_5,Current
147,2001,9,0.0,0.0,SF_9_2001_52,Current
148,2003,2,1.0,1.0,LA_2_2003_3,Current
148,2008,5,1.0,1.0,SF_5_2008_7,Current
149,2005,4,0.0,0.0,MIHB_4_2005_6,Current
149,2008,2,0.0,0.0,SF_2_2008_15,Current
150,1986,12,1.0,1.0,NYT_12_1986_16,Current
150,2001,6,1.0,1.0,DMNB_6_2001_3,Current
151,1992,1,0.0,0.0,LA_1_1992_71,Current
151,1998,2,1.0,1.0,SF_2_1998_2,Current
152,1990,12,0.0,0.0,LA_12_1990_14,Current
152,1997,9,1.0,1.0,NYT_9_1997_5,Current
153,1998,2,0.0,0.0,NYT_2_1998_26,Current
153,2007,9,0.0,0.0,MIHB_9_2007_25,Current
154,1997,12,1.0,1.0,LA_12_1997_27,Current
154,2003,12,0.0,0.0,SF_12_2003_14,Current
155,2001,12,1.0,1.0,SF_12_2001_11,Current
155,2005,12,0.0,0.0,SF_12_2005_16,Current
156,1987,6,1.0,1.0,LA_6_1987_10,Current
156,1995,5,1.0,1.0,MIHB_5_1995_6,Current
157,1996,11,0.0,0.0,SF_11_1996_1,Current
157,1998,1,0.0,0.0,DMNB_1_1998_31,Current
158,1994,2,1.0,1.0,LA_2_1994_30,Current
158,2004,11,0.0,0.0,NYT_11_2004_17,Current
159,1999,3,1.0,1.0,NYT_3_1999_15,Current
159,2007,10,0.0,0.0,SF_10_2007_3,Current
160,2010,3,0.0,0.0,SF_3_2010_3,Current
161,2004,11,0.0,0.0,SF_11_2004_8,Current
161,2010,6,0.0,0.0,DMNB_6_2010_4,Current
162,1996,3,0.0,0.0,NYT_3_1996_15,Current
162,2006,10,0.0,0.0,LA_10_2006_8,Current
163,1987,11,1.0,1.0,LA_11_1987_11,Current
163,2003,11,1.0,1.0,LA_11_2003_9,Current
164,2005,3,1.0,1.0,SF_3_2005_10,Current
164,2005,8,0.0,0.0,SF_8_2005_5,Current
165,1992,6,1.0,1.0,LA_6_1992_6,Current
165,2007,11,0.0,0.0,LA_11_2007_31,Current
166,1997,4,1.0,1.0,SF_4_1997_4,Current
166,2001,10,1.0,1.0,DMNB_10_2001_39,Current
167,2004,4,0.0,0.0,SF_4_2004_10,Current
167,2004,8,0.0,0.0,SF_8_2004_17,Current
168,2001,8,1.0,1.0,LA_8_2001_36,Current
168,2009,1,1.0,1.0,NYT_1_2009_80,Current
169,1991,7,1.0,1.0,NYT_7_1991_9,Current
169,1998,11,1.0,1.0,NYT_11_1998_12,Current
170,2007,12,0.0,0.0,NYT_12_2007_10,Current
171,1991,9,0.0,0.0,LA_9_1991_17,Current
171,1994,11,1.0,1.0,NYT_11_1994_16,Current
172,1996,8,1.0,1.0,DMNB_8_1996_14,Current
172,2000,7,1.0,1.0,SF_7_2000_12,Current
173,1995,6,0.0,0.0,LA_6_1995_18,Current
173,1996,5,1.0,1.0,LA_5_1996_28,Current
174,1994,7,0.0,0.0,LA_7_1994_52,Current
174,2002,8,0.0,0.0,LA_8_2002_23,Current
175,2001,11,0.0,0.0,NYT_11_2001_1,Current
175,2009,3,0.0,0.0,SF_3_2009_20,Current
176,2007,1,1.0,1.0,SF_1_2007_9,Current
176,2008,1,0.0,0.0,NYT_1_2008_9,Current
177,2002,12,0.0,0.0,SF_12_2002_20,Current
178,2000,10,0.0,0.0,NYT_10_2000_20,Current
178,2007,4,1.0,1.0,SF_4_2007_6,Current
179,1992,7,0.0,0.0,NYT_7_1992_28,Current
179,1997,5,1.0,1.0,SF_5_1997_3,Current
180,2007,11,1.0,1.0,LA_11_2007_30,Current
180,2009,7,1.0,1.0,MIHB_7_2009_17,Current
181,1996,10,0.0,0.0,NYT_10_1996_3,Current
181,2006,10,0.0,0.0,MIHB_10_2006_4,Current
182,1992,7,0.0,0.0,MIHB_7_1992_14,Current
182,1995,7,1.0,1.0,SF_7_1995_1,Current
183,2006,10,0.0,0.0,SF_10_2006_4,Current
183,2009,3,0.0,0.0,LA_3_2009_25,Current
184,1989,11,0.0,0.0,NYT_11_1989_3,Current
184,2009,9,1.0,1.0,SF_9_2009_1,Current
185,2002,8,0.0,0.0,LA_8_2002_33,Current
185,2009,9,0.0,0.0,LA_9_2009_2,Current
186,2005,3,1.0,1.0,NYT_3_2005_7,Current
186,2010,4,0.0,0.0,SF_4_2010_2,Current
187,1987,1,1.0,1.0,LA_1_1987_2,Current
187,1999,7,1.0,1.0,DMNB_7_1999_12,Current
188,1992,8,1.0,1.0,LA_8_1992_25,Current
188,1993,9,1.0,1.0,LA_9_1993_52,Current
189,2008,7,0.0,0.0,LA_7_2008_29,Current
189,2010,3,1.0,1.0,MIHB_3_2010_2,Current
190,1990,1,0.0,0.0,LA_1_1990_31,Current
190,1996,6,0.0,0.0,MIHB_6_1996_12,Current
191,2003,6,0.0,0.0,SF_6_2003_5,Current
192,2002,5,0.0,0.0,SF_5_2002_13,Current
193,1995,10,1.0,1.0,MIHB_10_1995_7,Current
193,2002,1,0.0,0.0,LA_1_2002_10,Current
194,1999,6,1.0,1.0,NYT_6_1999_17,Current
194,2002,12,1.0,1.0,DMNB_12_2002_8,Current
195,1993,11,1.0,1.0,LA_11_1993_8,Current
195,2002,9,1.0,1.0,NYT_9_2002_1,Current
196,1987,1,1.0,1.0,MIHB_1_1987_14,Current
196,1994,3,1.0,1.0,NYT_3_1994_16,Current
197,1986,7,1.0,1.0,LA_7_1986_17,Current
197,2008,7,0.0,0.0,SF_7_2008_5,Current
198,2000,8,0.0,0.0,SF_8_2000_6,Current
198,2009,7,0.0,0.0,DMNB_7_2009_5,Current
199,1995,3,1.0,1.0,LA_3_1995_16,Current
199,2009,6,0.0,0.0,SF_6_2009_5,Current
200,2005,9,0.0,0.0,NYT_9_2005_31,Current
200,2010,4,0.0,0.0,LA_4_2010_13,Current
201,2004,8,0.0,0.0,LA_8_2004_14,Current
202,1993,11,0.3333333333333333,0.0,DMNB_11_1993_2,Current
202,1993,11,0.3333333333333333,0.0,NYT_11_1993_32,Current
203,1987,2,1.0,1.0,MIHB_2_1987_3,Current
203,1989,8,1.0,1.0,LA_8_1989_11,Current
204,1993,11,1.0,1.0,LA_11_1993_29,Current
204,1997,10,1.0,1.0,NYT_10_1997_24,Current
205,2006,11,0.0,0.0,NYT_11_2006_10,Current
206,1991,9,1.0,1.0,LA_9_1991_18,Current
206,1996,9,1.0,1.0,NYT_9_1996_20,Current
207,2004,10,1.0,1.0,LA_10_2004_29,Current
208,1994,7,1.0,1.0,NYT_7_1994_25,Current
208,1996,9,0.0,0.0,LA_9_1996_5,Current
209,1999,2,0.0,0.0,SF_2_1999_1,Current
209,2005,8,1.0,1.0,LA_8_2005_12,Current
210,1992,6,1.0,1.0,MIHB_6_1992_2,Current
210,2004,1,0.0,0.0,SF_1_2004_13,Current
211,2005,3,0.0,0.0,LA_3_2005_8,Current
211,2008,8,0.0,0.0,SF_8_2008_16,Current
212,1991,2,0.0,0.0,LA_2_1991_62,Current
212,1996,6,0.0,0.0,DMNB_6_1996_16,Current
213,1992,5,1.0,1.0,NYT_5_1992_10,Current
213,1994,8,0.0,0.0,NYT_8_1994_35,Current
214,2008,11,0.0,0.0,NYT_11_2008_61,Current
214,2010,10,1.0,1.0,LA_10_2010_5,Current
215,1998,10,1.0,1.0,SF_10_1998_15,Current
215,1999,9,0.0,0.0,NYT_9_1999_9,Current
216,1996,1,0.0,0.0,LA_1_1996_24,Current
216,2002,5,0.0,0.0,MIHB_5_2002_7,Current
217,1992,2,0.0,0.0,LA_2_1992_17,Current
217,1994,9,0.0,0.0,LA_9_1994_36,Current
218,1987,10,1.0,1.0,NYT_10_1987_29,Current
218,1999,9,1.0,1.0,SF_9_1999_3,Current
219,1996,3,1.0,1.0,LA_3_1996_11,Current
219,2009,3,1.0,1.0,MIHB_3_2009_9,Current
220,2007,10,0.0,0.0,LA_10_2007_4,Current
220,2009,11,0.0,0.0,SF_11_2009_5,Current
221,2000,8,1.0,1.0,MIHB_8_2000_4,Current
221,2009,6,0.0,0.0,NYT_6_2009_42,Current
222,1998,11,1.0,1.0,NYT_11_1998_25,Current
222,2008,6,1.0,1.0,MIHB_6_2008_10,Current
223,1985,10,1.0,1.0,MIHB_10_1985_4,Current
223,2001,4,1.0,1.0,NYT_4_2001_7,Current
224,2007,11,0.0,0.0,SF_11_2007_9,Current
225,1996,10,0.0,0.0,SF_10_1996_1,Current
225,2011,4,1.0,1.0,LA_4_2011_20,Current
226,1995,6,0.0,0.0,SF_6_1995_5,Current
226,1997,7,0.0,0.0,SF_7_1997_1,Current
227,1996,8,1.0,1.0,SF_8_1996_1,Current
227,2003,7,1.0,1.0,LA_7_2003_1,Current
228,1996,7,0.0,0.0,NYT_7_1996_8,Current
228,2000,11,1.0,1.0,SF_11_2000_7,Current
229,2001,7,1.0,1.0,NYT_7_2001_19,Current
229,2006,1,1.0,1.0,SF_1_2006_4,Current
230,2003,8,0.0,0.0,LA_8_2003_15,Current
230,2011,2,0.0,0.0,NYT_2_2011_45,Current
231,1995,12,0.0,0.0,SF_12_1995_4,Current
231,2000,4,1.0,1.0,SF_4_2000_5,Current
232,1992,10,1.0,1.0,NYT_10_1992_22,Current
232,2000,9,0.0,0.0,MIHB_9_2000_9,Current
233,1997,9,0.0,0.0,SF_9_1997_1,Current
233,1999,8,0.0,0.0,LA_8_1999_15,Current
234,2005,4,0.0,0.0,NYT_4_2005_26,Current
235,1986,8,0.0,0.0,NYT_8_1986_21,Current
235,2002,9,0.0,0.0,MIHB_9_2002_18,Current
236,1996,12,0.0,0.0,NYT_12_1996_13,Current
236,2004,11,1.0,1.0,SF_11_2004_3,Current
237,1998,11,0.0,0.0,LA_11_1998_40,Current
237,2000,6,1.0,1.0,SF_6_2000_6,Current
238,1990,7,0.0,0.0,NYT_7_1990_27,Current
238,2002,9,0.0,0.0,LA_9_2002_52,Current
239,1985,4,1.0,1.0,LA_4_1985_5,Current
239,2004,12,1.0,1.0,NYT_12_2004_19,Current
240,1993,11,1.0,1.0,MIHB_11_1993_6,Current
240,2005,9,0.0,0.0,SF_9_2005_9,Current
241,1998,3,1.0,1.0,MIHB_3_1998_5,Current
241,2003,9,1.0,1.0,LA_9_2003_46,Current
242,2001,4,0.0,0.0,NYT_4_2001_26,Current
243,1993,6,1.0,1.0,NYT_6_1993_27,Current
243,2007,4,0.0,0.0,LA_4_2007_14,Current
244,1987,2,1.0,1.0,LA_2_1987_12,Current
244,1998,2,0.0,0.0,DMNB_2_1998_6,Current
245,1996,2,0.0,0.0,LA_2_1996_23,Current
245,2004,3,0.0,0.0,SF_3_2004_7,Current
246,1998,5,0.0,0.0,LA_5_1998_14,Current
246,1999,11,0.0,0.0,LA_11_1999_28,Current
247,1989,3,1.0,1.0,LA_3_1989_33,Current
247,2004,7,0.0,0.0,DMNB_7_2004_19,Current
248,2000,6,1.0,1.0,LA_6_2000_3,Current
248,2004,8,1.0,1.0,DMNB_8_2004_10,Current
249,2010,7,0.0,0.0,MIHB_7_2010_33,Current
249,2011,8,0.0,0.0,SF_8_2011_32,Current
250,2005,1,0.0,0.0,SF_1_2005_7,Current
250,2005,10,0.0,0.0,DMNB_10_2005_6,Current
251,2000,9,0.0,0.0,SF_9_2000_1,Current
251,2005,4,1.0,1.0,NYT_4_2005_18,Current
252,2005,12,0.0,0.0,SF_12_2005_7,Current
253,1988,8,1.0,1.0,MIHB_8_1988_8,Current
253,2001,9,0.0,0.0,NYT_9_2001_17,Current
254,2010,2,0.0,0.0,DMNB_2_2010_3,Current
254,2010,10,1.0,1.0,LA_10_2010_2,Current
255,2003,6,1.0,1.0,MIHB_6_2003_5,Current
255,2011,12,0.0,0.0,NYT_12_2011_10,Current
256,1992,12,0.0,0.0,NYT_12_1992_6,Current
256,2001,4,0.0,0.0,DMNB_4_2001_7,Current
257,1994,5,0.0,0.0,LA_5_1994_26,Current
258,2000,9,0.0,0.0,SF_9_2000_1,Current
258,2010,5,1.0,1.0,LA_5_2010_13,Current
259,1989,5,1.0,1.0,LA_5_1989_9,Current
