ID	text	sentiment
126_0	The Federal Open Market Committee decided today to keep its target for the federal funds rate at 5-1/4 percent. Recent indicators have been mixed and the adjustment in the housing sector is ongoing. Nevertheless, the economy seems likely to continue to expand at a moderate pace over coming quarters. Recent readings on core inflation have been somewhat elevated. Although inflation pressures seem likely to moderate over time, the high level of resource utilization has the potential to sustain those pressures. In these circumstances, the Committee's predominant policy concern remains the risk that inflation will fail to moderate as expected. Future policy adjustments will depend on the evolution of the outlook for both inflation and economic growth, as implied by incoming information.	hawkish
17_4	In response, manufacturing production has been cut back sharply, with new technologies appearing to have accelerated the response of production and demand to potential excesses in the stock of inventories and capital equipment	dovish
119_15	Information on Related Actions Being Taken by Other Central BanksInformation on the actions that will be taken by other central banks is available at the following websites: Bank of Canada  Bank of England European Central Bank Swiss National Bank (61 KB PDF)  Statements by Other Central BanksBank of Japan Sveriges Riksbank Term Securities Lending FacilityTerms and conditionsFrequently asked questions	neutral
139_6	In light of increasing economic slack here and abroad, the Committee expects that inflation will remain subdued	neutral
114_0	The Federal Open Market Committee decided today to keep its target for the federal funds rate at 5-1/4 percent. The moderation in economic growth appears to be continuing, partly reflecting a cooling of the housing market. Readings on core inflation have been elevated, and the high levels of resource utilization and of the prices of energy and other commodities have the potential to sustain inflation pressures. However, inflation pressures seem likely to moderate over time, reflecting reduced impetus from energy prices, contained inflation expectations, and the cumulative effects of monetary policy actions and other factors restraining aggregate demand. Nonetheless, the Committee judges that some inflation risks remain. The extent and timing of any additional firming that may be needed to address these risks will depend on the evolution of the outlook for both inflation and economic growth, as implied by incoming information.	neutral
49_4	Against the background of its long-run goals of price stability and sustainable economic growth and of the information currently available, the Committee believes the risks are weighted mainly toward conditions that may generate heightened inflation pressures in the foreseeable future	hawkish
95_0	The Federal Open Market Committee decided today to raise its target for the federal funds rate by 25 basis points to 3 percent. The Committee believes that, even after this action, the stance of monetary policy remains accommodative and, coupled with robust underlying growth in productivity, is providing ongoing support to economic activity. Recent data suggest that the solid pace of spending growth has slowed somewhat, partly in response to the earlier increases in energy prices. Labor market conditions, however, apparently continue to improve gradually. Pressures on inflation have picked up in recent months and pricing power is more evident. Longer-term inflation expectations remain well contained. The Committee perceives that, with appropriate monetary policy action, the upside and downside risks to the attainment of both sustainable growth and price stability should be kept roughly equal. With underlying inflation expected to be contained, the Committee believes that policy accommodation can be removed at a pace that is likely to be measured. Nonetheless, the Committee will respond to changes in economic prospects as needed to fulfill its obligation to maintain price stability.	hawkish
156_3	The experience of the last several years has reinforced the conviction that low inflation is essential to realizing the economy's fullest growth potential	hawkish
27_0	The Federal Open Market Committee decided today to keep its target for the federal funds rate unchanged at 1-3/4 percent	neutral
87_5	The economy nevertheless appears poised to resume a stronger pace of expansion going forward	neutral
28_3	Nonetheless, the degree of the strengthening in final demand over coming quarters, an essential element in sustained economic expansion, is still uncertain	neutral
9_2	Economic conditions and considerations addressed by the Committee are essentially the same as when the Committee met in February	neutral
20_6	This potential restraint, together with the possible effects of earlier reductions in equity wealth on consumption and the risk of slower growth abroad, continues to weigh on the economy	dovish
46_6	As a consequence, the directive the Federal Open Market Committee adopted is symmetrical with regard to the outlook for policy over the near term	neutral
61_0	The Federal Open Market Committee at its meeting today decided to lower its target for the federal funds rate by 25 basis points to 3-3/4 percent	dovish
103_4	The Federal Reserve will continue to monitor economic and financial developments to gauge the appropriate stance of policy	neutral
125_0	The Federal Open Market Committee decided today to keep its target for the federal funds rate at 5-1/4 percent. Recent indicators have suggested somewhat firmer economic growth, and some tentative signs of stabilization have appeared in the housing market. Overall, the economy seems likely to expand at a moderate pace over coming quarters. Readings on core inflation have improved modestly in recent months, and inflation pressures seem likely to moderate over time. However, the high level of resource utilization has the potential to sustain inflation pressures. The Committee judges that some inflation risks remain. The extent and timing of any additional firming that may be needed to address these risks will depend on the evolution of the outlook for both inflation and economic growth, as implied by incoming information.	hawkish
100_5	The Committee judges that some further measured policy firming is likely to be needed to keep the risks to the attainment of both sustainable economic growth and price stability roughly in balance	hawkish
118_2	Financial markets remain under considerable stress, and credit has tightened further for some businesses and households	dovish
59_6	Nonetheless, capital investment has continued to soften and the persistent erosion in current and expected profitability, in combination with rising uncertainty about the business outlook, seems poised to dampen capital spending going forward	dovish
147_3	Business spending on equipment and software has risen significantly	neutral
132_4	Readings on core inflation have improved modestly this year	neutral
137_3	Financial markets remain quite strained and credit conditions tight	dovish
112_4	Ongoing productivity gains have held down the rise in unit labor costs, and inflation expectations remain contained	neutral
152_2	Household spending is increasing gradually, but remains constrained by high unemployment, modest income growth, lower housing wealth, and tight credit	dovish
154_4	Employers remain reluctant to add to payrolls	dovish
159_5	Committee members emphasized that such a directive did not signify a commitment to near-term action	neutral
119_5	Federal Reserve ActionsThe Federal Reserve announced today an expansion of its securities lending program	dovish
113_4	However, inflation pressures seem likely to moderate over time, reflecting contained inflation expectations and the cumulative effects of monetary policy actions and other factors restraining aggregate demand	neutral
38_1	This action was taken in light of persisting strength in demand, which is progressively increasing the risk of inflationary imbalances developing in the economy that would eventually undermine the long expansion	hawkish
84_4	Although job losses have slowed, new hiring has lagged	neutral
90_6	With underlying inflation expected to be relatively low, the Committee believes that policy accommodation can be removed at a pace that is likely to be measured	neutral
65_4	Although the necessary reallocation of resources to enhance security may restrain advances in productivity for a time, the long-term prospects for productivity growth and the economy remain favorable and should become evident once the unusual forces restraining demand abate	neutral
76_1	The Federal Open Market Committee decided today to keep its target for the federal funds rate unchanged at 1-1/4 percent	neutral
141_2	Conditions in financial markets have generally improved in recent months	dovish
153_10	To promote a stronger pace of economic recovery and to help ensure that inflation, over time, is at levels consistent with its mandate, the Committee decided today to expand its holdings of securities	dovish
103_0	The Federal Reserve announced today the following monetary policy actions: The Board of Governors approved an increase in the discount rate from 3 1/2 percent to 4 percent, effective immediately	hawkish
50_3	The Committee is concerned that this disparity in the growth of demand and potential supply will continue, which could foster inflationary imbalances that would undermine the economy's outstanding performance	hawkish
97_0	The Federal Open Market Committee decided today to raise its target for the federal funds rate by 25 basis points to 3-1/2 percent. The Committee believes that, even after this action, the stance of monetary policy remains accommodative and, coupled with robust underlying growth in productivity, is providing ongoing support to economic activity. Aggregate spending, despite high energy prices, appears to have strengthened since late winter, and labor market conditions continue to improve gradually. Core inflation has been relatively low in recent months and longer-term inflation expectations remain well contained, but pressures on inflation have stayed elevated. The Committee perceives that, with appropriate monetary policy action, the upside and downside risks to the attainment of both sustainable growth and price stability should be kept roughly equal. With underlying inflation expected to be contained, the Committee believes that policy accommodation can be removed at a pace that is likely to be measured. Nonetheless, the Committee will respond to changes in economic prospects as needed to fulfill its obligation to maintain price stability.	hawkish
153_6	Longer-term inflation expectations have remained stable, but measures of underlying inflation have trended lower in recent quarters	neutral
139_9	The Committee will maintain the target range for the federal funds rate at 0 to 1/4 percent and anticipates that economic conditions are likely to warrant exceptionally low levels of the federal funds rate for an extended period	dovish
78_2	In a related action, the Board of Governors approved a 25 basis point reduction in the discount rate to 2 percent	dovish
14_1	The utilization of the pool of available workers remains at an unusually high level, and the increase in energy prices, though having limited effect on core measures of prices to date, still harbors the possibility of raising inflation expectations	hawkish
35_9	The Committee perceives that, with appropriate monetary policy action, the upside and downside risks to the attainment of both sustainable growth and price stability should be kept roughly equal	neutral
52_1	Recent data have indicated that the expansion of aggregate demand is moderating toward a pace closer to the rate of growth of the economy's potential to produce	neutral
153_0	Information received since the Federal Open Market Committee met in September confirms that the pace of recovery in output and employment continues to be slow. Household spending is increasing gradually, but remains constrained by high unemployment, modest income growth, lower housing wealth, and tight credit. Business spending on equipment and software is rising, though less rapidly than earlier in the year, while investment in nonresidential structures continues to be weak. Employers remain reluctant to add to payrolls. Housing starts continue to be depressed. Longer-term inflation expectations have remained stable, but measures of underlying inflation have trended lower in recent quarters. Consistent with its statutory mandate, the Committee seeks to foster maximum employment and price stability. Currently, the unemployment rate is elevated, and measures of underlying inflation are somewhat low, relative to levels that the Committee judges to be consistent, over the longer run, with its dual mandate. Although the Committee anticipates a gradual return to higher levels of resource utilization in a context of price stability, progress toward its objectives has been disappointingly slow. To promote a stronger pace of economic recovery and to help ensure that inflation, over time, is at levels consistent with its mandate, the Committee decided today to expand its holdings of securities. The Committee will maintain its existing policy of reinvesting principal payments from its securities holdings. In addition, the Committee intends to purchase a further $600 billion of longer-term Treasury securities by the end of the second quarter of 2011, a pace of about $75 billion per month. The Committee will regularly review the pace of its securities purchases and the overall size of the asset-purchase program in light of incoming information and will adjust the program as needed to best foster maximum employment and price stability. The Committee will maintain the target range for the federal funds rate at 0 to 1/4 percent and continues to anticipate that economic conditions, including low rates of resource utilization, subdued inflation trends, and stable inflation expectations, are likely to warrant exceptionally low levels for the federal funds rate for an extended period. The Committee will continue to monitor the economic outlook and financial developments and will employ its policy tools as necessary to support the economic recovery and to help ensure that inflation, over time, is at levels consistent with its mandate.	dovish
139_5	Although the near-term economic outlook is weak, the Committee anticipates that policy actions to stabilize financial markets and institutions, together with fiscal and monetary stimulus, will contribute to a gradual resumption of sustainable economic growth	dovish
119_7	The TSLF is intended to promote liquidity in the financing markets for Treasury and other collateral and thus to foster the functioning of financial markets more generally	dovish
40_2	Growing caution by lenders and unsettled conditions in financial markets more generally are likely to be restraining aggregate demand in the future	dovish
5_0	The Federal Open Market Committee decided today to leave its target for the federal funds rate unchanged	neutral
128_8	Future policy adjustments will depend on the evolution of the outlook for both inflation and economic growth, as implied by incoming information	neutral
93_5	The Committee perceives the upside and downside risks to the attainment of both sustainable growth and price stability for the next few quarters to be roughly equal	neutral
33_5	Inflation and inflation expectations remain well contained	dovish
126_7	Future policy adjustments will depend on the evolution of the outlook for both inflation and economic growth, as implied by incoming information	neutral
145_10	25 trillion of agency mortgage-backed securities and about $175 billion of agency debt	dovish
85_2	The Committee continues to believe that an accommodative stance of monetary policy, coupled with robust underlying growth in productivity, is providing important ongoing support to economic activity	neutral
123_3	Inflation expectations are diminishing and remain anchored to price stability	neutral
129_9	Future policy adjustments will depend on the outlook for both inflation and economic growth, as implied by incoming information	neutral
135_6	However, in light of the continued increases in the prices of energy and some other commodities and the elevated state of some indicators of inflation expectations, uncertainty about the inflation outlook remains high	hawkish
151_0	Information received since the Federal Open Market Committee met in June indicates that the pace of recovery in output and employment has slowed in recent months. Household spending is increasing gradually, but remains constrained by high unemployment, modest income growth, lower housing wealth, and tight credit. Business spending on equipment and software is rising; however, investment in nonresidential structures continues to be weak and employers remain reluctant to add to payrolls. Housing starts remain at a depressed level. Bank lending has continued to contract. Nonetheless, the Committee anticipates a gradual return to higher levels of resource utilization in a context of price stability, although the pace of economic recovery is likely to be more modest in the near term than had been anticipated. Measures of underlying inflation have trended lower in recent quarters and, with substantial resource slack continuing to restrain cost pressures and longer-term inflation expectations stable, inflation is likely to be subdued for some time. The Committee will maintain the target range for the federal funds rate at 0 to 1/4 percent and continues to anticipate that economic conditions, including low rates of resource utilization, subdued inflation trends, and stable inflation expectations, are likely to warrant exceptionally low levels of the federal funds rate for an extended period. To help support the economic recovery in a context of price stability, the Committee will keep constant the Federal Reserve's holdings of securities at their current level by reinvesting principal payments from agency debt and agency mortgage-backed securities in longer-term Treasury securities.1 The Committee will continue to roll over the Federal Reserve's holdings of Treasury securities as they mature. The Committee will continue to monitor the economic outlook and financial developments and will employ its policy tools as necessary to promote economic recovery and price stability.	dovish
154_14	The Committee will maintain the target range for the federal funds rate at 0 to 1/4 percent and continues to anticipate that economic conditions, including low rates of resource utilization, subdued inflation trends, and stable inflation expectations, are likely to warrant exceptionally low levels for the federal funds rate for an extended period	dovish
125_6	The Committee judges that some inflation risks remain	hawkish
84_3	The evidence accumulated over the intermeeting period indicates that output is continuing to expand at a solid pace	neutral
89_0	The Federal Open Market Committee decided today to raise its target for the federal funds rate by 25 basis points to 2 percent. The Committee believes that, even after this action, the stance of monetary policy remains accommodative and, coupled with robust underlying growth in productivity, is providing ongoing support to economic activity. Output appears to be growing at a moderate pace despite the rise in energy prices, and labor market conditions have improved. Inflation and longer-term inflation expectations remain well contained. The Committee perceives the upside and downside risks to the attainment of both sustainable growth and price stability for the next few quarters to be roughly equal. With underlying inflation expected to be relatively low, the Committee believes that policy accommodation can be removed at a pace that is likely to be measured. Nonetheless, the Committee will respond to changes in economic prospects as needed to fulfill its obligation to maintain price stability.	neutral
85_7	At this juncture, with inflation low and resource use slack, the Committee believes that policy accommodation can be removed at a pace that is likely to be measured	neutral
15_0	The Federal Open Market Committee at its meeting today decided to maintain the existing stance of monetary policy, keeping its target for the federal funds rate at 6-1/2 percent	neutral
151_3	Business spending on equipment and software is rising; however, investment in nonresidential structures continues to be weak and employers remain reluctant to add to payrolls	dovish
64_1	In a related action, the Board of Governors approved a 50 basis point reduction in the discount rate to 2 percent	dovish
7_2	Such trends could foster inflationary imbalances that would undermine the economy's exemplary performance	hawkish
139_14	The Committee will continue to carefully monitor the size and composition of the Federal Reserve's balance sheet in light of evolving financial and economic developments	neutral
10_3	The Committee is concerned that this disparity in the growth of demand and potential supply will continue, which could foster inflationary imbalances that would undermine the economy's outstanding performance	hawkish
150_10	The Committee will maintain the target range for the federal funds rate at 0 to 1/4 percent and continues to anticipate that economic conditions, including low rates of resource utilization, subdued inflation trends, and stable inflation expectations, are likely to warrant exceptionally low levels of the federal funds rate for an extended period	dovish
57_2	Consumer and business confidence has eroded further, exacerbated by rising energy costs that continue to drain consumer purchasing power and press on business profit margins	dovish
13_0	The Federal Open Market Committee at its meeting today decided to maintain the existing stance of monetary policy, keeping its target for the federal funds rate at 6-1/2 percent	neutral
147_6	Although the pace of economic recovery is likely to be moderate for a time, the Committee anticipates a gradual return to higher levels of resource utilization in a context of price stability	neutral
153_12	In addition, the Committee intends to purchase a further $600 billion of longer-term Treasury securities by the end of the second quarter of 2011, a pace of about $75 billion per month	dovish
8_3	Such trends could foster inflationary imbalances that would undermine the economy's record economic expansion	hawkish
58_0	The Federal Open Market Committee at its meeting today decided to lower its target for the federal funds rate by 50 basis points to 5 percent	dovish
38_4	No change was made in the Federal Reserve discount rate, which remains at 5 percent	neutral
4_0	The Federal Open Market Committee today voted to raise its target for the federal funds rate by 25 basis points to 5-1/4 percent	hawkish
98_10	With underlying inflation expected to be contained, the Committee believes that policy accommodation can be removed at a pace that is likely to be measured	neutral
135_9	The Committee will continue to monitor economic and financial developments and will act as needed to promote sustainable economic growth and price stability	neutral
123_7	The Bank of Japan expresses its strong support of these policy actions	neutral
119_14	The actions announced today supplement the measures announced by the Federal Reserve on Friday to boost the size of the Term Auction Facility to $100 billion and to undertake a series of term repurchase transactions that will cumulate to $100 billion	dovish
149_7	The arrangement with the Bank of Canada would support drawings of up to $30 billion, as was the case previously	dovish
79_1	The Federal Open Market Committee decided today to keep its target for the federal funds rate at 1 percent	neutral
55_4	Against the background of its long-run goals of price stability and sustainable economic growth and of the information currently available, the Committee consequently believes that the risks are weighted mainly toward conditions that may generate economic weakness in the foreseeable future	dovish
81_7	The Committee judges that, on balance, the risk of inflation becoming undesirably low remains the predominant concern for the foreseeable future	dovish
149_3	The Bank of Japan will be considering similar measures soon	neutral
50_2	Increases in demand have remained in excess of even the rapid pace of productivity-driven gains in potential supply, exerting continued pressure on resources	hawkish
64_4	Nonetheless, the long-term prospects for productivity growth and the economy remain favorable and should become evident once the unusual forces restraining demand abate	dovish
149_0	In response to the reemergence of strains in US dollar short-term funding markets in Europe, the Bank of Canada, the Bank of England, the European Central Bank, the Federal Reserve, and the Swiss National Bank are announcing the reestablishment of temporary US dollar liquidity swap facilities. These facilities are designed to help improve liquidity conditions in US dollar funding markets and to prevent the spread of strains to other markets and financial centers. The Bank of Japan will be considering similar measures soon. Central banks will continue to work together closely as needed to address pressures in funding markets. Federal Reserve ActionsThe Federal Open Market Committee has authorized temporary reciprocal currency arrangements (swap lines) with the Bank of Canada, the Bank of England, the European Central Bank (ECB), and the Swiss National Bank. The arrangements with the Bank of England, the ECB, and the Swiss National Bank will provide these central banks with the capacity to conduct tenders of US dollars in their local markets at fixed rates for full allotment, similar to arrangements that had been in place previously. The arrangement with the Bank of Canada would support drawings of up to $30 billion, as was the case previously. These swap arrangements have been authorized through January 2011. Further details on these arrangements will be available shortly. Information on Related Actions Being Taken by Other Central BanksInformation on the actions that will be taken by other central banks is available at the following websites: Bank of Canada       Bank of England     European Central Bank    Bank of Japan (57 KB PDF)    Swiss National Bank (60 KB PDF)    US Dollar Liquidity Swaps FAQs (51 KB PDF)	dovish
148_11	The only remaining such program, the Term Asset-Backed Securities Loan Facility, is scheduled to close on June 30 for loans backed by new-issue commercial mortgage-backed securities; it closed on March 31 for loans backed by all other types of collateral	neutral
22_4	The associated easing of pressures on labor and product markets is expected to keep inflation contained	dovish
151_9	To help support the economic recovery in a context of price stability, the Committee will keep constant the Federal Reserve's holdings of securities at their current level by reinvesting principal payments from agency debt and agency mortgage-backed securities in longer-term Treasury securities	dovish
35_7	Higher energy and other costs have the potential to add to inflation pressures	hawkish
141_1	Information received since the Federal Open Market Committee met in April suggests that the pace of economic contraction is slowing	dovish
75_1	The Federal Open Market Committee decided today to keep its target for the federal funds rate unchanged at 1-1/4 percent	neutral
145_18	The Federal Reserve is prepared to modify these plans if necessary to support financial stability and economic growth	neutral
148_4	Housing starts have edged up but remain at a depressed level	dovish
95_1	The Federal Open Market Committee decided today to raise its target for the federal funds rate by 25 basis points to 3 percent	hawkish
148_2	Growth in household spending has picked up recently but remains constrained by high unemployment, modest income growth, lower housing wealth, and tight credit	dovish
84_0	The Federal Open Market Committee decided today to keep its target for the federal funds rate at 1 percent. The Committee continues to believe that an accommodative stance of monetary policy, coupled with robust underlying growth in productivity, is providing important ongoing support to economic activity. The evidence accumulated over the intermeeting period indicates that output is continuing to expand at a solid pace. Although job losses have slowed, new hiring has lagged. Increases in core consumer prices are muted and expected to remain low. The Committee perceives the upside and downside risks to the attainment of sustainable growth for the next few quarters are roughly equal. The probability of an unwelcome fall in inflation has diminished in recent months and now appears almost equal to that of a rise in inflation. With inflation quite low and resource use slack, the Committee believes that it can be patient in removing its policy accommodation.	neutral
35_4	In addition to elevating premiums for some energy products, the disruption to the production and refining infrastructure may add to energy price volatility	hawkish
147_13	The only remaining such program, the Term Asset-Backed Securities Loan Facility, is scheduled to close on June 30 for loans backed by new-issue commercial mortgage-backed securities and on March 31 for loans backed by all other types of collateral	neutral
111_1	The Federal Open Market Committee decided today to raise its target for the federal funds rate by 25 basis points to 5 percent	hawkish
40_0	The Federal Reserve today announced the following set of policy actions: The Board of Governors approved a reduction in the discount rate by 25 basis points from 5 percent to 4-3/4 percent	dovish
115_3	Going forward, the economy seems likely to expand at a moderate pace	neutral
33_0	The Federal Open Market Committee decided today to lower its target for the federal funds rate by 50 basis points to 1 1/4 percent. In a related action, the Board of Governors approved a 50 basis point reduction in the discount rate to 3/4 percent. The Committee continues to believe that an accommodative stance of monetary policy, coupled with still-robust underlying growth in productivity, is providing important ongoing support to economic activity. However, incoming economic data have tended to confirm that greater uncertainty, in part attributable to heightened geopolitical risks, is currently inhibiting spending, production, and employment. Inflation and inflation expectations remain well contained. In these circumstances, the Committee believes that today's additional monetary easing should prove helpful as the economy works its way through this current soft spot. With this action, the Committee believes that, against the background of its long-run goals of price stability and sustainable economic growth and of the information currently available, the risks are balanced with respect to the prospects for both goals in the foreseeable future.	dovish
96_0	The Federal Open Market Committee decided today to raise its target for the federal funds rate by 25 basis points to 3-1/4 percent. The Committee believes that, even after this action, the stance of monetary policy remains accommodative and, coupled with robust underlying growth in productivity, is providing ongoing support to economic activity. Although energy prices have risen further, the expansion remains firm and labor market conditions continue to improve gradually. Pressures on inflation have stayed elevated, but longer-term inflation expectations remain well contained. The Committee perceives that, with appropriate monetary policy action, the upside and downside risks to the attainment of both sustainable growth and price stability should be kept roughly equal. With underlying inflation expected to be contained, the Committee believes that policy accommodation can be removed at a pace that is likely to be measured. Nonetheless, the Committee will respond to changes in economic prospects as needed to fulfill its obligation to maintain price stability.	hawkish
130_4	As always, the discount window is available as a source of funding	neutral
56_2	The Board also indicated that it stands ready to approve a further reduction of 25 basis points in the discount rate to 5-1/2 percent on the requests of Federal Reserve Banks	dovish
95_4	Labor market conditions, however, apparently continue to improve gradually	neutral
127_7	Future policy adjustments will depend on the evolution of the outlook for both inflation and economic growth, as implied by incoming information	neutral
134_4	Today's action, combined with the policy actions taken earlier, should help promote moderate growth over time	neutral
78_3	The Committee continues to believe that an accommodative stance of monetary policy, coupled with still robust underlying growth in productivity, is providing important ongoing support to economic activity	dovish
51_4	In these circumstances, and against the background of its long-term goals of price stability and sustainable economic growth and of the information currently available, the Committee believes the risks continue to be weighted mainly toward conditions that may generate heightened inflation pressures in the foreseeable future	hawkish
119_12	These arrangements will now provide dollars in amounts of up to $30 billion and $6 billion to the ECB and the SNB, respectively, representing increases of $10 billion and $2 billion	dovish
146_17	The Federal Reserve is prepared to modify these plans if necessary to support financial stability and economic growth	neutral
146_16	The anticipated expiration dates for the Term Asset-Backed Securities Loan Facility remain set at June 30 for loans backed by new-issue commercial mortgage-backed securities and March 31 for loans backed by all other types of collateral	neutral
60_1	In a related action, the Board of Governors approved a 50 basis point reduction in the discount rate to 3-1/2 percent	dovish
2_0	The Federal Reserve today announced the following set of policy actions: The Board of Governors approved a reduction in the discount rate by 25 basis points from 4-3/4 percent to 4-1/2 percent	dovish
19_3	A significant reduction in excess inventories seems well advanced	neutral
126_3	Nevertheless, the economy seems likely to continue to expand at a moderate pace over coming quarters	neutral
109_6	In any event, the Committee will respond to changes in economic prospects as needed to foster these objectives	neutral
146_10	25 trillion of agency mortgage-backed securities and about $175 billion of agency debt	dovish
10_0	The Federal Open Market Committee voted today to raise its target for the federal funds rate by 50 basis points to 6-1/2 percent	hawkish
43_6	The Committee, nonetheless, recognizes that in the current dynamic environment it must be especially alert to the emergence, or potential emergence, of inflationary forces that could undermine economic growth	hawkish
58_3	The associated backup in inventories has induced a rapid response in manufacturing output and, with spending having firmed a bit since last year, inventory adjustment appears to be well underway	dovish
80_2	The Committee continues to believe that an accommodative stance of monetary policy, coupled with robust underlying growth in productivity, is providing important ongoing support to economic activity	dovish
86_3	The evidence accumulated over the intermeeting period indicates that output is continuing to expand at a solid pace and labor market conditions have improved	neutral
31_4	With price and cost trends already subdued, a slight easing of monetary policy is consistent with contained inflation and sustainable growth	dovish
154_3	Business spending on equipment and software is rising, though less rapidly than earlier in the year, while investment in nonresidential structures continues to be weak	dovish
44_2	With financial markets functioning more normally, and with persistent strength in domestic demand, foreign economies firming and labor markets remaining very tight, the degree of monetary ease required to address the global financial market turmoil of last fall is no longer consistent with sustained, noninflationary, economic expansion	hawkish
75_0	The Federal Open Market Committee decided today to keep its target for the federal funds rate unchanged at 1-1/4 percent. Oil price premiums and other aspects of geopolitical risks have reportedly fostered continued restraint on spending and hiring by businesses. However, the Committee believes that as those risks lift, as most analysts expect, the accommodative stance of monetary policy, coupled with ongoing growth in productivity, will provide support to an improving economic climate over time. In these circumstances, the Committee believes that, against the background of its long-run goals of price stability and sustainable economic growth and of the information currently available, the risks are balanced with respect to the prospects for both goals for the foreseeable future.	neutral
150_1	Information received since the Federal Open Market Committee met in April suggests that the economic recovery is proceeding and that the labor market is improving gradually	neutral
119_6	Under this new Term Securities Lending Facility (TSLF), the Federal Reserve will lend up to $200 billion of Treasury securities to primary dealers secured for a term of 28 days (rather than overnight, as in the existing program) by a pledge of other securities, including federal agency debt, federal agency residential-mortgage-backed securities (MBS), and non-agency AAA/Aaa-rated private-label residential MBS	dovish
112_5	However, the high levels of resource utilization and of the prices of energy and other commodities have the potential to sustain inflation pressures	hawkish
74_2	The Committee continues to believe that this accommodative stance of monetary policy, coupled with still robust underlying growth in productivity, is providing important ongoing support to economic activity	dovish
138_5	Furthermore, global demand appears to be slowing significantly	dovish
45_5	Committee members emphasized that such a directive did not signify a commitment to near-term action	neutral
134_2	Incoming information suggests that economic growth is slowing, reflecting the intensification of the housing correction and some softening in business and consumer spending	dovish
21_0	The Federal Open Market Committee at its meeting today decided to lower its target for the federal funds rate by 25 basis points to 3-3/4 percent	dovish
139_11	25 trillion this year, and to increase its purchases of agency debt this year by up to $100 billion to a total of up to $200 billion	dovish
152_3	Business spending on equipment and software is rising, though less rapidly than earlier in the year, while investment in nonresidential structures continues to be weak	dovish
57_7	Nonetheless, the Committee continues to believe that against the background of its long-run goals of price stability and sustainable economic growth and of the information currently available, the risks are weighted mainly toward conditions that may generate economic weakness in the foreseeable future	dovish
55_0	The Federal Open Market Committee at its meeting today decided to maintain the existing stance of monetary policy, keeping its target for the federal funds rate at 6-1/2 percent	neutral
66_3	To be sure, weakness in demand shows signs of abating, but those signs are preliminary and tentative	dovish
145_3	Household spending appears to be expanding at a moderate rate, though it remains constrained by a weak labor market, modest income growth, lower housing wealth, and tight credit	dovish
