ID,text,sentiment,text_clean,label
145_12,The Committee will continue to evaluate the timing and overall amounts of its purchases of securities in light of the evolving economic outlook and conditions in financial markets,neutral,the committee will continue to evaluate the timing and overall amounts of its purchases of securities in light of the evolving economic outlook and conditions in financial markets,2
34_2,"The Committee continues to believe that this accommodative stance of monetary policy, coupled with still robust underlying growth in productivity, is providing important ongoing support to economic activity",dovish,the committee continues to believe that this accommodative stance of monetary policy coupled with still robust underlying growth in productivity is providing important ongoing support to economic activity,0
97_0,"The Federal Open Market Committee decided today to raise its target for the federal funds rate by 25 basis points to 3-1/2 percent. The Committee believes that, even after this action, the stance of monetary policy remains accommodative and, coupled with robust underlying growth in productivity, is providing ongoing support to economic activity. Aggregate spending, despite high energy prices, appears to have strengthened since late winter, and labor market conditions continue to improve gradually. Core inflation has been relatively low in recent months and longer-term inflation expectations remain well contained, but pressures on inflation have stayed elevated. The Committee perceives that, with appropriate monetary policy action, the upside and downside risks to the attainment of both sustainable growth and price stability should be kept roughly equal. With underlying inflation expected to be contained, the Committee believes that policy accommodation can be removed at a pace that is likely to be measured. Nonetheless, the Committee will respond to changes in economic prospects as needed to fulfill its obligation to maintain price stability.",hawkish,the federal open market committee decided today to raise its target for the federal funds rate by basis points to - percent the committee believes that even after this action the stance of monetary policy remains accommodative and coupled with robust underlying growth in productivity is providing ongoing support to economic activity aggregate spending despite high energy prices appears to have strengthened since late winter and labor market conditions continue to improve gradually core inflation has been relatively low in recent months and longer-term inflation expectations remain well contained but pressures on inflation have stayed elevated the committee perceives that with appropriate monetary policy action the upside and downside risks to the attainment of both sustainable growth and price stability should be kept roughly equal with underlying inflation expected to be contained the committee believes that policy accommodation can be removed at a pace that is likely to be measured nonetheless the committee will respond to changes in economic prospects as needed to fulfill its obligation to maintain price stability ,1
2_3,"With the 75 basis point decline in the federal funds rate since September, financial conditions can reasonably be expected to be consistent with fostering sustained economic expansion while keeping inflationary pressures subdued",dovish,with the basis point decline in the federal funds rate since september financial conditions can reasonably be expected to be consistent with fostering sustained economic expansion while keeping inflationary pressures subdued,0
78_4,"Recent signs point to a firming in spending, markedly improved financial conditions, and labor and product markets that are stabilizing",neutral,recent signs point to a firming in spending markedly improved financial conditions and labor and product markets that are stabilizing,2
97_4,"Core inflation has been relatively low in recent months and longer-term inflation expectations remain well contained, but pressures on inflation have stayed elevated",hawkish,core inflation has been relatively low in recent months and longer-term inflation expectations remain well contained but pressures on inflation have stayed elevated,1
86_7,"Nonetheless, the Committee will respond to changes in economic prospects as needed to fulfill its obligation to maintain price stability",hawkish,nonetheless the committee will respond to changes in economic prospects as needed to fulfill its obligation to maintain price stability,1
79_4,Business pricing power and increases in core consumer prices remain muted,neutral,business pricing power and increases in core consumer prices remain muted,2
146_6,"Although the pace of economic recovery is likely to be moderate for a time, the Committee anticipates a gradual return to higher levels of resource utilization in a context of price stability",neutral,although the pace of economic recovery is likely to be moderate for a time the committee anticipates a gradual return to higher levels of resource utilization in a context of price stability,2
37_0,"The Federal Open Market Committee decided today to raise its target for the federal funds rate by 25 basis points to 4-1/4 percent. Despite elevated energy prices and hurricane-related disruptions, the expansion in economic activity appears solid. Core inflation has stayed relatively low in recent months and longer-term inflation expectations remain contained. Nevertheless, possible increases in resource utilization as well as elevated energy prices have the potential to add to inflation pressures. The Committee judges that some further measured policy firming is likely to be needed to keep the risks to the attainment of both sustainable economic growth and price stability roughly in balance. In any event, the Committee will respond to changes in economic prospects as needed to foster these objectives.",neutral,the federal open market committee decided today to raise its target for the federal funds rate by basis points to - percent despite elevated energy prices and hurricane-related disruptions the expansion in economic activity appears solid core inflation has stayed relatively low in recent months and longer-term inflation expectations remain contained nevertheless possible increases in resource utilization as well as elevated energy prices have the potential to add to inflation pressures the committee judges that some further measured policy firming is likely to be needed to keep the risks to the attainment of both sustainable economic growth and price stability roughly in balance in any event the committee will respond to changes in economic prospects as needed to foster these objectives ,2
63_4,"Even before the tragic events of last week, employment, production, and business spending remained weak, and last week's events have the potential to damp spending further",dovish,even before the tragic events of last week employment production and business spending remained weak and last week's events have the potential to damp spending further,0
100_2,"Despite elevated energy prices and hurricane-related disruptions, the expansion in economic activity appears solid",neutral,despite elevated energy prices and hurricane-related disruptions the expansion in economic activity appears solid,2
79_2,"The Committee continues to believe that an accommodative stance of monetary policy, coupled with still-robust underlying growth in productivity, is providing important ongoing support to economic activity",dovish,the committee continues to believe that an accommodative stance of monetary policy coupled with still-robust underlying growth in productivity is providing important ongoing support to economic activity,0
129_2,Economic growth was moderate during the first half of the year,neutral,economic growth was moderate during the first half of the year,2
94_2,"The Committee believes that, even after this action, the stance of monetary policy remains accommodative and, coupled with robust underlying growth in productivity, is providing ongoing support to economic activity",neutral,the committee believes that even after this action the stance of monetary policy remains accommodative and coupled with robust underlying growth in productivity is providing ongoing support to economic activity,2
61_1,"In a related action, the Board of Governors approved a 25 basis point reduction in the discount rate to 3-1/4 percent",dovish,in a related action the board of governors approved a basis point reduction in the discount rate to - percent,0
119_1,"Since the coordinated actions taken in December 2007, the G-10 central banks have continued to work together closely and to consult regularly on liquidity pressures in funding markets",dovish,since the coordinated actions taken in december the g- central banks have continued to work together closely and to consult regularly on liquidity pressures in funding markets,0
131_3,The Committee is monitoring the situation and is prepared to act as needed to mitigate the adverse effects on the economy arising from the disruptions in financial markets,dovish,the committee is monitoring the situation and is prepared to act as needed to mitigate the adverse effects on the economy arising from the disruptions in financial markets,0
129_8,"Although the downside risks to growth have increased somewhat, the Committee's predominant policy concern remains the risk that inflation will fail to moderate as expected",hawkish,although the downside risks to growth have increased somewhat the committee's predominant policy concern remains the risk that inflation will fail to moderate as expected,1
128_5,"However, a sustained moderation in inflation pressures has yet to be convincingly demonstrated",hawkish,however a sustained moderation in inflation pressures has yet to be convincingly demonstrated,1
15_1,"The drag on demand and profits from rising energy costs, as well as eroding consumer confidence, reports of substantial shortfalls in sales and earnings, and stress in some segments of the financial markets suggest that economic growth may be slowing further",dovish,the drag on demand and profits from rising energy costs as well as eroding consumer confidence reports of substantial shortfalls in sales and earnings and stress in some segments of the financial markets suggest that economic growth may be slowing further,0
142_8,"In these circumstances, the Federal Reserve will employ all available tools to promote economic recovery and to preserve price stability",dovish,in these circumstances the federal reserve will employ all available tools to promote economic recovery and to preserve price stability,0
49_0,The Federal Open Market Committee voted today to raise its target for the federal funds rate by 25 basis points to 6 percent,hawkish,the federal open market committee voted today to raise its target for the federal funds rate by basis points to percent,1
143_12,"As previously announced, the Federal Reserveâs purchases of $300 billion of Treasury securities will be completed by the end of October 2009",dovish,as previously announced the federal reserveâs purchases of billion of treasury securities will be completed by the end of october ,0
73_7,"With this action, the Committee believes that, against the background of its long-run goals of price stability and sustainable economic growth and of the information currently available, the risks are balanced with respect to the prospects for both goals in the foreseeable future",neutral,with this action the committee believes that against the background of its long-run goals of price stability and sustainable economic growth and of the information currently available the risks are balanced with respect to the prospects for both goals in the foreseeable future,2
150_10,"The Committee will maintain the target range for the federal funds rate at 0 to 1/4 percent and continues to anticipate that economic conditions, including low rates of resource utilization, subdued inflation trends, and stable inflation expectations, are likely to warrant exceptionally low levels of the federal funds rate for an extended period",dovish,the committee will maintain the target range for the federal funds rate at to percent and continues to anticipate that economic conditions including low rates of resource utilization subdued inflation trends and stable inflation expectations are likely to warrant exceptionally low levels of the federal funds rate for an extended period,0
3_5,"Owing to the uncertain resolution of the balance of conflicting forces in the economy going forward, the FOMC has chosen to adopt a directive that includes no predilection about near-term policy action",neutral,owing to the uncertain resolution of the balance of conflicting forces in the economy going forward the fomc has chosen to adopt a directive that includes no predilection about near-term policy action,2
83_2,"The Committee continues to believe that an accommodative stance of monetary policy, coupled with robust underlying growth in productivity, is providing important ongoing support to economic activity",dovish,the committee continues to believe that an accommodative stance of monetary policy coupled with robust underlying growth in productivity is providing important ongoing support to economic activity,0
26_2,"Economic activity remains soft, with underlying inflation likely to edge lower from relatively modest levels",neutral,economic activity remains soft with underlying inflation likely to edge lower from relatively modest levels,2
61_2,Today's action by the FOMC brings the decline in the target federal funds rate since the beginning of the year to 275 basis points,dovish,today's action by the fomc brings the decline in the target federal funds rate since the beginning of the year to basis points,0
19_4,"Consumption and housing expenditures have held up reasonably well, though activity in these areas has flattened recently",neutral,consumption and housing expenditures have held up reasonably well though activity in these areas has flattened recently,2
145_5,Financial market conditions have become more supportive of economic growth,neutral,financial market conditions have become more supportive of economic growth,2
139_2,"Job losses, declining equity and housing wealth, and tight credit conditions have weighed on consumer sentiment and spending",dovish,job losses declining equity and housing wealth and tight credit conditions have weighed on consumer sentiment and spending,0
74_3,"The limited number of incoming economic indicators since the November meeting, taken together, are not inconsistent with the economy working its way through its current soft spot",neutral,the limited number of incoming economic indicators since the november meeting taken together are not inconsistent with the economy working its way through its current soft spot,2
62_1,"In a related action, the Board of Governors approved a 25 basis point reduction in the discount rate to 3 percent",dovish,in a related action the board of governors approved a basis point reduction in the discount rate to percent,0
87_5,The economy nevertheless appears poised to resume a stronger pace of expansion going forward,neutral,the economy nevertheless appears poised to resume a stronger pace of expansion going forward,2
138_5,"Furthermore, global demand appears to be slowing significantly",dovish,furthermore global demand appears to be slowing significantly,0
135_2,"Recent information indicates that overall economic activity continues to expand, partly reflecting some firming in household spending",neutral,recent information indicates that overall economic activity continues to expand partly reflecting some firming in household spending,2
28_0,"The Federal Open Market Committee decided today to keep its target for the federal funds rate unchanged at 1 3/4 percent. The information that has become available since the last meeting of the Committee confirms that economic activity has been receiving considerable upward impetus from a marked swing in inventory investment. Nonetheless, the degree of the strengthening in final demand over coming quarters, an essential element in sustained economic expansion, is still uncertain. In these circumstances, although the stance of monetary policy is currently accommodative, the Committee believes that, for the foreseeable future, against the background of its long run goals of price stability and sustainable economic growth and of the information currently available, the risks are balanced with respect to the prospects for both goals.",neutral,the federal open market committee decided today to keep its target for the federal funds rate unchanged at percent the information that has become available since the last meeting of the committee confirms that economic activity has been receiving considerable upward impetus from a marked swing in inventory investment nonetheless the degree of the strengthening in final demand over coming quarters an essential element in sustained economic expansion is still uncertain in these circumstances although the stance of monetary policy is currently accommodative the committee believes that for the foreseeable future against the background of its long run goals of price stability and sustainable economic growth and of the information currently available the risks are balanced with respect to the prospects for both goals ,2
12_4,"Against the background of its long-term goals of price stability and sustainable economic growth and of the information currently available, the Committee believes the risks continue to be weighted mainly toward conditions that may generate heightened inflation pressures in the foreseeable future",hawkish,against the background of its long-term goals of price stability and sustainable economic growth and of the information currently available the committee believes the risks continue to be weighted mainly toward conditions that may generate heightened inflation pressures in the foreseeable future,1
49_4,"Against the background of its long-run goals of price stability and sustainable economic growth and of the information currently available, the Committee believes the risks are weighted mainly toward conditions that may generate heightened inflation pressures in the foreseeable future",hawkish,against the background of its long-run goals of price stability and sustainable economic growth and of the information currently available the committee believes the risks are weighted mainly toward conditions that may generate heightened inflation pressures in the foreseeable future,1
36_7,"Nonetheless, the Committee will respond to changes in economic prospects as needed to fulfill its obligation to maintain price stability",hawkish,nonetheless the committee will respond to changes in economic prospects as needed to fulfill its obligation to maintain price stability,1
36_0,"The Federal Open Market Committee decided today to raise its target for the federal funds rate by 25 basis points to 4 percent. Elevated energy prices and hurricane-related disruptions in economic activity have temporarily depressed output and employment. However, monetary policy accommodation, coupled with robust underlying growth in productivity, is providing ongoing support to economic activity that will likely be augmented by planned rebuilding in the hurricane-affected areas. The cumulative rise in energy and other costs has the potential to add to inflation pressures; however, core inflation has been relatively low in recent months and longer-term inflation expectations remain contained. The Committee perceives that, with appropriate monetary policy action, the upside and downside risks to the attainment of both sustainable growth and price stability should be kept roughly equal. With underlying inflation expected to be contained, the Committee believes that policy accommodation can be removed at a pace that is likely to be measured. Nonetheless, the Committee will respond to changes in economic prospects as needed to fulfill its obligation to maintain price stability.",hawkish,the federal open market committee decided today to raise its target for the federal funds rate by basis points to percent elevated energy prices and hurricane-related disruptions in economic activity have temporarily depressed output and employment however monetary policy accommodation coupled with robust underlying growth in productivity is providing ongoing support to economic activity that will likely be augmented by planned rebuilding in the hurricane-affected areas the cumulative rise in energy and other costs has the potential to add to inflation pressures however core inflation has been relatively low in recent months and longer-term inflation expectations remain contained the committee perceives that with appropriate monetary policy action the upside and downside risks to the attainment of both sustainable growth and price stability should be kept roughly equal with underlying inflation expected to be contained the committee believes that policy accommodation can be removed at a pace that is likely to be measured nonetheless the committee will respond to changes in economic prospects as needed to fulfill its obligation to maintain price stability ,1
31_3,Moderating economic expansion in recent months has reduced potential inflationary pressures going forward,neutral,moderating economic expansion in recent months has reduced potential inflationary pressures going forward,2
127_5,"Although inflation pressures seem likely to moderate over time, the high level of resource utilization has the potential to sustain those pressures",hawkish,although inflation pressures seem likely to moderate over time the high level of resource utilization has the potential to sustain those pressures,1
154_3,"Business spending on equipment and software is rising, though less rapidly than earlier in the year, while investment in nonresidential structures continues to be weak",dovish,business spending on equipment and software is rising though less rapidly than earlier in the year while investment in nonresidential structures continues to be weak,0
25_2,Heightened uncertainty and concerns about a deterioration in business conditions both here and abroad are damping economic activity,dovish,heightened uncertainty and concerns about a deterioration in business conditions both here and abroad are damping economic activity,0
113_4,"However, inflation pressures seem likely to moderate over time, reflecting contained inflation expectations and the cumulative effects of monetary policy actions and other factors restraining aggregate demand",neutral,however inflation pressures seem likely to moderate over time reflecting contained inflation expectations and the cumulative effects of monetary policy actions and other factors restraining aggregate demand,2
154_8,"Currently, the unemployment rate is elevated, and measures of underlying inflation are somewhat low, relative to levels that the Committee judges to be consistent, over the longer run, with its dual mandate",dovish,currently the unemployment rate is elevated and measures of underlying inflation are somewhat low relative to levels that the committee judges to be consistent over the longer run with its dual mandate,0
142_14,The Committee will continue to evaluate the timing and overall amounts of its purchases of securities in light of the evolving economic outlook and conditions in financial markets,neutral,the committee will continue to evaluate the timing and overall amounts of its purchases of securities in light of the evolving economic outlook and conditions in financial markets,2
83_0,"The Federal Open Market Committee decided today to keep its target for the federal funds rate at 1 percent. The Committee continues to believe that an accommodative stance of monetary policy, coupled with robust underlying growth in productivity, is providing important ongoing support to economic activity. The evidence accumulated over the intermeeting period confirms that output is expanding briskly. Although new hiring remains subdued, other indicators suggest an improvement in the labor market. Increases in core consumer prices are muted and expected to remain low. The Committee perceives that the upside and downside risks to the attainment of sustainable growth for the next few quarters are roughly equal. The probability of an unwelcome fall in inflation has diminished in recent months and now appears almost equal to that of a rise in inflation. With inflation quite low and resource use slack, the Committee believes that it can be patient in removing its policy accommodation.",neutral,the federal open market committee decided today to keep its target for the federal funds rate at percent the committee continues to believe that an accommodative stance of monetary policy coupled with robust underlying growth in productivity is providing important ongoing support to economic activity the evidence accumulated over the intermeeting period confirms that output is expanding briskly although new hiring remains subdued other indicators suggest an improvement in the labor market increases in core consumer prices are muted and expected to remain low the committee perceives that the upside and downside risks to the attainment of sustainable growth for the next few quarters are roughly equal the probability of an unwelcome fall in inflation has diminished in recent months and now appears almost equal to that of a rise in inflation with inflation quite low and resource use slack the committee believes that it can be patient in removing its policy accommodation ,2
8_1,"In a related action, the Board of Governors approved a 25 basis point increase in the discount rate to 5-1/4 percent",hawkish,in a related action the board of governors approved a basis point increase in the discount rate to - percent,1
110_3,Economic growth has rebounded strongly in the current quarter but appears likely to moderate to a more sustainable pace,neutral,economic growth has rebounded strongly in the current quarter but appears likely to moderate to a more sustainable pace,2
49_2,Economic conditions and considerations addressed by the Committee are essentially the same as when the Committee met in February,neutral,economic conditions and considerations addressed by the committee are essentially the same as when the committee met in february,2
63_6,"For the foreseeable future, the Committee continues to believe that against the background of its long-run goals of price stability and sustainable economic growth and of the information currently available, the risks are weighted mainly toward conditions that may generate economic weakness",dovish,for the foreseeable future the committee continues to believe that against the background of its long-run goals of price stability and sustainable economic growth and of the information currently available the risks are weighted mainly toward conditions that may generate economic weakness,0
113_1,The Federal Open Market Committee decided today to keep its target for the federal funds rate at 5-1/4 percent,neutral,the federal open market committee decided today to keep its target for the federal funds rate at - percent,2
99_4,"The cumulative rise in energy and other costs has the potential to add to inflation pressures; however, core inflation has been relatively low in recent months and longer-term inflation expectations remain contained",hawkish,the cumulative rise in energy and other costs has the potential to add to inflation pressures however core inflation has been relatively low in recent months and longer-term inflation expectations remain contained,1
